No.	Fokus		Waktu
0,	UP		10:34:2;50583
1,	UP		10:34:2;50599
2,	UP		10:34:2;50617
3,	UP		10:34:2;50631
4,	UP		10:34:2;50648
5,	UP		10:34:2;50665
6,	UP		10:34:2;50681
7,	UP		10:34:2;50699
8,	UP		10:34:2;50723
9,	UP		10:34:2;50735
10,	UP		10:34:2;50749
11,	UP		10:34:2;50768
12,	UP		10:34:2;50782
13,	UP		10:34:2;50797
14,	UP		10:34:2;50818
15,	UP		10:34:2;50831
16,	UP		10:34:2;50848
17,	UP		10:34:2;50867
18,	UP		10:34:2;50881
19,	UP		10:34:2;50897
20,	UP		10:34:2;50913
21,	UP		10:34:2;50935
22,	UP		10:34:2;50947
23,	UP		10:34:2;50966
24,	UP		10:34:3;50981
25,	UP		10:34:3;50998
26,	UP		10:34:3;51016
27,	UP		10:34:3;51031
28,	UP		10:34:3;51047
29,	UP		10:34:3;51066
30,	UP		10:34:3;51082
31,	UP		10:34:3;51097
32,	UP		10:34:3;51116
33,	UP		10:34:3;51131
34,	UP		10:34:3;51147
35,	UP		10:34:3;51166
36,	UP		10:34:3;51181
37,	UP		10:34:3;51197
38,	UP		10:34:3;51216
39,	UP		10:34:3;51232
40,	UP		10:34:3;51247
41,	UP		10:34:3;51266
42,	UP		10:34:3;51281
43,	UP		10:34:3;51297
44,	UP		10:34:3;51314
45,	UP		10:34:3;51330
46,	UP		10:34:3;51346
47,	UP		10:34:3;51365
48,	UP		10:34:3;51383
49,	UP		10:34:3;51400
50,	UP		10:34:3;51418
51,	UP		10:34:3;51433
52,	UP		10:34:3;51448
53,	UP		10:34:3;51468
54,	UP		10:34:3;51483
55,	UP		10:34:3;51498
56,	UP		10:34:3;51516
57,	UP		10:34:3;51532
58,	UP		10:34:3;51548
59,	UP		10:34:3;51567
60,	UP		10:34:3;51582
61,	UP		10:34:3;51598
62,	UP		10:34:3;51615
63,	UP		10:34:3;51631
64,	UP		10:34:3;51647
65,	UP		10:34:3;51665
66,	UP		10:34:3;51681
67,	UP		10:34:3;51698
68,	UP		10:34:3;51714
69,	UP		10:34:3;51731
70,	UP		10:34:3;51747
71,	UP		10:34:3;51765
72,	UP		10:34:3;51781
73,	UP		10:34:3;51798
74,	UP		10:34:3;51815
75,	UP		10:34:3;51831
76,	UP		10:34:3;51849
77,	UP		10:34:3;51864
78,	UP		10:34:3;51881
79,	UP		10:34:3;51897
80,	UP		10:34:3;51915
81,	UP		10:34:3;51930
82,	UP		10:34:3;51947
83,	UP		10:34:3;51965
84,	UP		10:34:4;51981
85,	UP		10:34:4;51997
86,	UP		10:34:4;52014
87,	UP		10:34:4;52030
88,	UP		10:34:4;52047
89,	UP		10:34:4;52065
90,	UP		10:34:4;52081
91,	UP		10:34:4;52097
92,	UP		10:34:4;52114
93,	UP		10:34:4;52131
94,	UP		10:34:4;52148
95,	UP		10:34:4;52165
96,	UP		10:34:4;52181
97,	UP		10:34:4;52197
98,	UP		10:34:4;52215
99,	UP		10:34:4;52231
100,	UP		10:34:4;52247
101,	UP		10:34:4;52264
102,	UP		10:34:4;52281
103,	UP		10:34:4;52299
104,	UP		10:34:4;52314
105,	UP		10:34:4;52330
106,	UP		10:34:4;52346
107,	UP		10:34:4;52364
108,	UP		10:34:4;52380
109,	UP		10:34:4;52398
110,	UP		10:34:4;52416
111,	UP		10:34:4;52433
112,	UP		10:34:4;52451
113,	UP		10:34:4;52466
114,	UP		10:34:4;52482
115,	UP		10:34:4;52499
116,	UP		10:34:4;52517
117,	LEFT		10:34:4;52533
118,	LEFT		10:34:4;52548
119,	LEFT		10:34:4;52566
120,	LEFT		10:34:4;52583
121,	LEFT		10:34:4;52599
122,	LEFT		10:34:4;52614
123,	LEFT		10:34:4;52631
124,	LEFT		10:34:4;52647
125,	LEFT		10:34:4;52664
126,	LEFT		10:34:4;52680
127,	LEFT		10:34:4;52696
