No, Fokus, Waktu
0, UP, 10:43:26;30079
1, UP, 10:43:26;30095
2, UP, 10:43:26;30115
3, UP, 10:43:26;30130
4, UP, 10:43:26;30146
5, UP, 10:43:26;30176
6, UP, 10:43:26;30181
7, UP, 10:43:26;30200
8, UP, 10:43:26;30213
9, UP, 10:43:26;30230
10, UP, 10:43:26;30247
11, UP, 10:43:26;30271
12, UP, 10:43:26;30281
13, UP, 10:43:26;30301
14, UP, 10:43:26;30315
15, UP, 10:43:26;30331
16, UP, 10:43:26;30353
17, UP, 10:43:26;30366
18, UP, 10:43:26;30383
19, UP, 10:43:26;30402
20, UP, 10:43:26;30416
21, UP, 10:43:26;30433
22, UP, 10:43:26;30451
23, UP, 10:43:26;30466
24, UP, 10:43:26;30483
25, UP, 10:43:26;30502
26, UP, 10:43:26;30517
27, UP, 10:43:26;30533
28, UP, 10:43:26;30552
29, UP, 10:43:26;30566
30, UP, 10:43:26;30583
31, UP, 10:43:26;30601
32, UP, 10:43:26;30615
33, UP, 10:43:26;30632
34, UP, 10:43:26;30650
35, UP, 10:43:26;30664
36, UP, 10:43:26;30681
37, UP, 10:43:26;30700
38, UP, 10:43:26;30714
39, UP, 10:43:26;30730
40, UP, 10:43:26;30746
41, UP, 10:43:27;30764
42, UP, 10:43:27;30781
43, UP, 10:43:27;30798
44, UP, 10:43:27;30817
45, UP, 10:43:27;30832
46, UP, 10:43:27;30852
47, UP, 10:43:27;30864
48, UP, 10:43:27;30880
49, UP, 10:43:27;30896
50, UP, 10:43:27;30914
51, UP, 10:43:27;30929
52, UP, 10:43:27;30949
53, UP, 10:43:27;30963
54, UP, 10:43:27;30979
55, UP, 10:43:27;31000
56, UP, 10:43:27;31013
57, UP, 10:43:27;31029
58, UP, 10:43:27;31047
59, UP, 10:43:27;31066
60, UP, 10:43:27;31080
61, UP, 10:43:27;31100
62, UP, 10:43:27;31113
63, UP, 10:43:27;31131
64, UP, 10:43:27;31148
65, UP, 10:43:27;31163
66, UP, 10:43:27;31179
67, UP, 10:43:27;31196
68, UP, 10:43:27;31217
69, UP, 10:43:27;31230
70, UP, 10:43:27;31251
71, UP, 10:43:27;31263
72, UP, 10:43:27;31280
73, UP, 10:43:27;31299
74, UP, 10:43:27;31314
75, UP, 10:43:27;31331
76, UP, 10:43:27;31349
77, UP, 10:43:27;31365
78, UP, 10:43:27;31382
79, UP, 10:43:27;31400
80, UP, 10:43:27;31414
81, UP, 10:43:27;31431
82, UP, 10:43:27;31450
83, UP, 10:43:27;31465
84, UP, 10:43:27;31482
85, UP, 10:43:27;31500
86, UP, 10:43:27;31515
87, UP, 10:43:27;31532
88, UP, 10:43:27;31551
89, UP, 10:43:27;31567
90, UP, 10:43:27;31583
91, UP, 10:43:27;31600
92, UP, 10:43:27;31616
93, UP, 10:43:27;31634
94, UP, 10:43:27;31651
95, UP, 10:43:27;31668
96, UP, 10:43:27;31684
97, UP, 10:43:27;31701
98, UP, 10:43:27;31716
99, UP, 10:43:27;31733
100, UP, 10:43:27;31752
101, UP, 10:43:28;31767
102, UP, 10:43:28;31785
103, UP, 10:43:28;31801
104, UP, 10:43:28;31818
105, UP, 10:43:28;31834
106, UP, 10:43:28;31851
107, UP, 10:43:28;31866
108, UP, 10:43:28;31882
109, UP, 10:43:28;31899
110, UP, 10:43:28;31914
111, UP, 10:43:28;31930
112, UP, 10:43:28;31950
113, UP, 10:43:28;31965
114, UP, 10:43:28;31981
115, UP, 10:43:28;32000
116, UP, 10:43:28;32014
117, UP, 10:43:28;32031
118, UP, 10:43:28;32050
119, UP, 10:43:28;32065
120, UP, 10:43:28;32081
121, UP, 10:43:28;32099
122, LEFT, 10:43:28;32114
123, LEFT, 10:43:28;32130
124, LEFT, 10:43:28;32148
125, LEFT, 10:43:28;32164
126, LEFT, 10:43:28;32180
127, LEFT, 10:43:28;32197
128, LEFT, 10:43:28;32213
129, LEFT, 10:43:28;32229
130, LEFT, 10:43:28;32245
131, LEFT, 10:43:28;32264
132, LEFT, 10:43:28;32279
133, LEFT, 10:43:28;32298
134, LEFT, 10:43:28;32312
135, LEFT, 10:43:28;32329
136, LEFT, 10:43:28;32347
137, LEFT, 10:43:28;32363
138, LEFT, 10:43:28;32380
139, LEFT, 10:43:28;32397
140, LEFT, 10:43:28;32414
141, LEFT, 10:43:28;32430
142, LEFT, 10:43:28;32448
143, LEFT, 10:43:28;32464
144, LEFT, 10:43:28;32480
145, LEFT, 10:43:28;32498
146, LEFT, 10:43:28;32514
147, LEFT, 10:43:28;32530
148, LEFT, 10:43:28;32548
149, LEFT, 10:43:28;32564
150, LEFT, 10:43:28;32581
151, LEFT, 10:43:28;32599
152, LEFT, 10:43:28;32615
153, LEFT, 10:43:28;32632
154, LEFT, 10:43:28;32650
155, LEFT, 10:43:28;32666
156, LEFT, 10:43:28;32683
157, LEFT, 10:43:28;32700
158, LEFT, 10:43:28;32715
159, LEFT, 10:43:28;32732
160, LEFT, 10:43:28;32750
161, LEFT, 10:43:29;32766
162, LEFT, 10:43:29;32783
163, LEFT, 10:43:29;32800
164, LEFT, 10:43:29;32815
165, LEFT, 10:43:29;32831
