No.	Fokus		Waktu
0,	LEFT		1:24:8;17252
1,	LEFT		1:24:8;17267
2,	LEFT		1:24:8;17281
3,	LEFT		1:24:8;17295
4,	LEFT		1:24:8;17309
5,	LEFT		1:24:8;17322
6,	LEFT		1:24:8;17338
7,	LEFT		1:24:8;17357
8,	LEFT		1:24:8;17371
9,	LEFT		1:24:8;17391
10,	LEFT		1:24:8;17404
11,	LEFT		1:24:8;17424
12,	LEFT		1:24:8;17437
13,	LEFT		1:24:8;17453
14,	LEFT		1:24:8;17473
15,	LEFT		1:24:8;17487
16,	LEFT		1:24:8;17506
17,	LEFT		1:24:8;17521
18,	LEFT		1:24:8;17537
19,	LEFT		1:24:8;17556
20,	LEFT		1:24:8;17571
21,	LEFT		1:24:8;17590
22,	LEFT		1:24:8;17604
23,	LEFT		1:24:8;17623
24,	LEFT		1:24:8;17637
25,	LEFT		1:24:8;17653
26,	LEFT		1:24:8;17672
27,	LEFT		1:24:8;17687
28,	LEFT		1:24:8;17706
29,	LEFT		1:24:8;17721
30,	LEFT		1:24:8;17737
31,	LEFT		1:24:8;17756
32,	LEFT		1:24:8;17770
33,	LEFT		1:24:8;17789
34,	LEFT		1:24:8;17804
35,	LEFT		1:24:8;17822
36,	LEFT		1:24:8;17837
37,	LEFT		1:24:8;17854
38,	LEFT		1:24:8;17872
39,	LEFT		1:24:8;17887
40,	LEFT		1:24:8;17905
41,	LEFT		1:24:8;17921
42,	LEFT		1:24:8;17937
43,	LEFT		1:24:8;17955
44,	LEFT		1:24:8;17970
45,	LEFT		1:24:8;17989
46,	LEFT		1:24:9;18004
47,	LEFT		1:24:9;18022
48,	LEFT		1:24:9;18037
49,	LEFT		1:24:9;18054
50,	LEFT		1:24:9;18072
51,	LEFT		1:24:9;18087
52,	LEFT		1:24:9;18105
53,	LEFT		1:24:9;18120
54,	LEFT		1:24:9;18136
55,	LEFT		1:24:9;18155
56,	LEFT		1:24:9;18171
57,	LEFT		1:24:9;18190
58,	LEFT		1:24:9;18204
59,	LEFT		1:24:9;18222
60,	LEFT		1:24:9;18237
61,	LEFT		1:24:9;18253
62,	LEFT		1:24:9;18272
63,	LEFT		1:24:9;18287
64,	LEFT		1:24:9;18305
65,	LEFT		1:24:9;18320
66,	LEFT		1:24:9;18336
67,	LEFT		1:24:9;18355
68,	LEFT		1:24:9;18370
69,	LEFT		1:24:9;18389
70,	LEFT		1:24:9;18404
71,	LEFT		1:24:9;18423
72,	LEFT		1:24:9;18438
73,	LEFT		1:24:9;18454
74,	LEFT		1:24:9;18472
75,	LEFT		1:24:9;18489
76,	LEFT		1:24:9;18505
77,	LEFT		1:24:9;18521
78,	LEFT		1:24:9;18537
79,	LEFT		1:24:9;18555
80,	LEFT		1:24:9;18571
81,	LEFT		1:24:9;18588
82,	LEFT		1:24:9;18604
83,	LEFT		1:24:9;18622
84,	LEFT		1:24:9;18637
85,	LEFT		1:24:9;18654
86,	LEFT		1:24:9;18672
87,	LEFT		1:24:9;18687
88,	LEFT		1:24:9;18704
89,	LEFT		1:24:9;18720
90,	LEFT		1:24:9;18737
91,	LEFT		1:24:9;18755
92,	LEFT		1:24:9;18770
93,	LEFT		1:24:9;18788
94,	LEFT		1:24:9;18804
95,	LEFT		1:24:9;18821
96,	LEFT		1:24:9;18837
97,	LEFT		1:24:9;18853
98,	LEFT		1:24:9;18871
99,	LEFT		1:24:9;18887
100,	LEFT		1:24:9;18905
101,	UP		1:24:9;18920
102,	UP		1:24:9;18937
103,	UP		1:24:9;18954
104,	UP		1:24:9;18970
105,	UP		1:24:9;18990
106,	UP		1:24:10;19005
107,	UP		1:24:10;19024
108,	UP		1:24:10;19039
109,	UP		1:24:10;19055
110,	UP		1:24:10;19074
111,	UP		1:24:10;19088
112,	UP		1:24:10;19107
113,	UP		1:24:10;19122
114,	UP		1:24:10;19138
115,	UP		1:24:10;19158
116,	UP		1:24:10;19172
117,	UP		1:24:10;19191
118,	UP		1:24:10;19206
119,	UP		1:24:10;19226
120,	UP		1:24:10;19239
121,	UP		1:24:10;19255
122,	UP		1:24:10;19273
123,	UP		1:24:10;19287
124,	UP		1:24:10;19306
125,	UP		1:24:10;19321
126,	UP		1:24:10;19337
127,	UP		1:24:10;19356
128,	UP		1:24:10;19371
129,	UP		1:24:10;19388
130,	UP		1:24:10;19404
131,	UP		1:24:10;19422
132,	UP		1:24:10;19437
133,	UP		1:24:10;19453
134,	UP		1:24:10;19472
135,	UP		1:24:10;19487
136,	UP		1:24:10;19506
137,	UP		1:24:10;19521
138,	UP		1:24:10;19537
139,	UP		1:24:10;19555
140,	UP		1:24:10;19571
141,	UP		1:24:10;19590
142,	UP		1:24:10;19605
143,	UP		1:24:10;19624
144,	UP		1:24:10;19638
145,	UP		1:24:10;19654
146,	UP		1:24:10;19674
147,	UP		1:24:10;19688
148,	UP		1:24:10;19707
149,	UP		1:24:10;19721
150,	UP		1:24:10;19739
151,	UP		1:24:10;19757
152,	UP		1:24:10;19772
153,	UP		1:24:10;19791
