%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_13-38-27
0, 0.00, -4125.62, -3712.15, -3376.37, 0.000, 0.000, 0.000, 13:38:34.420
1, 0.00, -4054.86, -3615.95, -3205.34, 0.000, 0.000, 0.000, 13:38:34.432
2, 0.00, -4134.32, -3729.77, -3412.29, 0.000, 0.000, 0.000, 13:38:34.433
3, 0.00, -4177.93, -3791.49, -3505.50, 0.000, 0.000, 0.000, 13:38:34.445
4, 0.00, -4116.76, -3714.02, -3375.25, 0.000, 0.000, 0.000, 13:38:34.446
5, 0.00, -4035.22, -3600.15, -3195.51, 0.000, 0.000, 0.000, 13:38:34.447
6, 0.00, -4103.55, -3713.36, -3401.01, 0.000, 0.000, 0.000, 13:38:34.449
7, 0.00, -4151.74, -3781.46, -3497.83, 0.000, 0.000, 0.000, 13:38:34.468
8, 0.00, -4105.87, -3704.42, -3379.92, 0.000, 0.000, 0.000, 13:38:34.470
9, 0.00, -4024.29, -3598.46, -3198.02, 0.000, 0.000, 0.000, 13:38:34.474
10, 0.00, -4106.34, -3705.00, -3393.01, 0.000, 0.000, 0.000, 13:38:34.475
11, 0.00, -4150.21, -3772.66, -3478.99, 0.000, 0.000, 0.000, 13:38:34.476
12, 0.00, -4091.45, -3685.07, -3347.43, 0.000, 0.000, 0.000, 13:38:34.476
13, 0.00, -4000.82, -3565.10, -3164.24, 0.000, 0.000, 0.000, 13:38:34.489
14, 0.00, -4093.42, -3700.30, -3381.89, 0.000, 0.000, 0.000, 13:38:34.490
15, 0.00, -4151.98, -3781.10, -3486.85, 0.000, 0.000, 0.000, 13:38:34.504
16, 0.00, -4093.17, -3692.82, -3356.65, 0.000, 0.000, 0.000, 13:38:34.505
17, 0.00, -4008.73, -3577.96, -3182.08, 0.000, 0.000, 0.000, 13:38:34.506
18, 0.00, -4087.02, -3696.07, -3378.81, 0.000, 0.000, 0.000, 13:38:34.506
19, 0.00, -4151.92, -3777.63, -3482.93, 0.000, 0.000, 0.000, 13:38:34.520
