%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_13-39-20
0, 0.00, -4187.19, -3759.54, -3441.30, 0.000, 0.000, 0.000, 13:39:33.847
1, 0.00, -4190.85, -3787.71, -3512.75, 0.000, 0.000, 0.000, 13:39:33.862
2, 0.00, -4132.57, -3708.74, -3389.93, 0.000, 0.000, 0.000, 13:39:33.862
3, 0.00, -4078.36, -3624.57, -3230.86, 0.000, 0.000, 0.000, 13:39:33.875
4, 0.00, -4166.71, -3751.38, -3432.24, 0.000, 0.000, 0.000, 13:39:33.875
5, 0.00, -4173.88, -3777.05, -3507.07, 0.000, 0.000, 0.000, 13:39:33.875
6, 0.00, -4121.86, -3696.97, -3373.67, 0.000, 0.000, 0.000, 13:39:33.875
7, 0.00, -4070.49, -3615.65, -3221.60, 0.000, 0.000, 0.000, 13:39:33.890
8, 0.00, -4165.05, -3741.24, -3419.15, 0.000, 0.000, 0.000, 13:39:33.890
9, 0.00, -4163.12, -3776.18, -3502.91, 0.000, 0.000, 0.000, 13:39:33.905
10, 0.00, -4114.77, -3700.91, -3377.85, 0.000, 0.000, 0.000, 13:39:33.905
11, 0.00, -4073.53, -3618.77, -3230.21, 0.000, 0.000, 0.000, 13:39:33.905
12, 0.00, -4173.88, -3752.15, -3432.60, 0.000, 0.000, 0.000, 13:39:33.905
13, 0.00, -4173.20, -3776.43, -3504.48, 0.000, 0.000, 0.000, 13:39:33.919
14, 0.00, -4109.01, -3687.56, -3360.45, 0.000, 0.000, 0.000, 13:39:33.919
15, 0.00, -4055.13, -3603.70, -3214.43, 0.000, 0.000, 0.000, 13:39:33.935
16, 0.00, -4149.00, -3727.85, -3418.90, 0.000, 0.000, 0.000, 13:39:33.935
17, 0.00, -4154.97, -3762.07, -3491.27, 0.000, 0.000, 0.000, 13:39:33.935
18, 0.00, -4099.66, -3679.89, -3357.08, 0.000, 0.000, 0.000, 13:39:33.935
19, 0.00, -4056.83, -3601.34, -3207.89, 0.000, 0.000, 0.000, 13:39:33.949
20, 0.00, -4157.95, -3734.28, -3413.16, 0.000, 0.000, 0.000, 13:39:33.949
21, 0.00, -4164.01, -3774.26, -3491.31, 0.000, 0.000, 0.000, 13:39:33.965
22, 0.00, -4095.33, -3679.68, -3354.17, 0.000, 0.000, 0.000, 13:39:33.966
23, 0.00, -4058.88, -3595.58, -3205.61, 0.000, 0.000, 0.000, 13:39:33.966
24, 0.00, -4163.26, -3728.85, -3415.13, 0.000, 0.000, 0.000, 13:39:33.966
25, 0.00, -4164.90, -3769.01, -3491.49, 0.000, 0.000, 0.000, 13:39:33.980
26, 0.00, -4107.52, -3677.03, -3351.38, 0.000, 0.000, 0.000, 13:39:33.981
27, 0.00, -4045.62, -3589.86, -3195.82, 0.000, 0.000, 0.000, 13:39:33.995
28, 0.00, -4144.20, -3726.32, -3406.45, 0.000, 0.000, 0.000, 13:39:33.995
29, 0.00, -4144.47, -3754.60, -3481.87, 0.000, 0.000, 0.000, 13:39:33.996
30, 0.00, -4097.87, -3679.16, -3352.23, 0.000, 0.000, 0.000, 13:39:33.996
31, 0.00, -4056.09, -3598.37, -3202.56, 0.000, 0.000, 0.000, 13:39:34.009
32, 0.00, -4154.56, -3731.94, -3412.63, 0.000, 0.000, 0.000, 13:39:34.010
33, 0.00, -4149.94, -3760.56, -3486.65, 0.000, 0.000, 0.000, 13:39:34.024
34, 0.00, -4106.18, -3684.91, -3358.34, 0.000, 0.000, 0.000, 13:39:34.025
35, 0.00, -4051.27, -3601.95, -3205.14, 0.000, 0.000, 0.000, 13:39:34.025
36, 0.00, -4152.63, -3732.01, -3417.23, 0.000, 0.000, 0.000, 13:39:34.025
37, 0.00, -4146.65, -3757.42, -3482.08, 0.000, 0.000, 0.000, 13:39:34.039
38, 0.00, -4094.39, -3666.65, -3342.00, 0.000, 0.000, 0.000, 13:39:34.039
39, 0.00, -4040.63, -3580.30, -3187.35, 0.000, 0.000, 0.000, 13:39:34.054
40, 0.00, -4139.90, -3720.89, -3403.89, 0.000, 0.000, 0.000, 13:39:34.054
41, 0.00, -4142.36, -3748.35, -3475.45, 0.000, 0.000, 0.000, 13:39:34.055
42, 0.00, -4093.39, -3674.84, -3349.81, 0.000, 0.000, 0.000, 13:39:34.055
43, 0.00, -4048.56, -3587.97, -3200.07, 0.000, 0.000, 0.000, 13:39:34.099
44, 0.00, -4155.39, -3730.97, -3409.89, 0.000, 0.000, 0.000, 13:39:34.099
45, 0.00, -4156.26, -3755.37, -3477.54, 0.000, 0.000, 0.000, 13:39:34.100
46, 0.00, -4108.52, -3670.22, -3343.67, 0.000, 0.000, 0.000, 13:39:34.100
47, 0.00, -4084.03, -3581.54, -3192.46, 0.000, 0.000, 0.000, 13:39:34.100
48, 0.00, -4175.45, -3731.20, -3422.99, 0.000, 0.000, 0.000, 13:39:34.100
49, 0.00, -4151.31, -3763.54, -3496.08, 0.000, 0.000, 0.000, 13:39:34.101
50, 0.00, -4119.11, -3682.10, -3363.03, 0.000, 0.000, 0.000, 13:39:34.101
51, 0.00, -4086.72, -3598.56, -3209.13, 0.000, 0.000, 0.000, 13:39:34.102
52, 0.00, -4197.40, -3733.03, -3420.79, 0.000, 0.000, 0.000, 13:39:34.102
53, 0.00, -4198.14, -3767.44, -3497.68, 0.000, 0.000, 0.000, 13:39:34.115
54, 0.00, -4153.50, -3702.33, -3385.46, 0.000, 0.000, 0.000, 13:39:34.115
55, 0.00, -4112.50, -3617.43, -3238.04, 0.000, 0.000, 0.000, 13:39:34.130
56, 0.00, -4212.46, -3754.88, -3448.85, 0.000, 0.000, 0.000, 13:39:34.130
