%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-31_13-26-57
0, 0.00, -3910.96, -3598.22, -3050.94, 0.000, 0.000, 0.000, 13:27:28.430
1, 0.00, -3689.02, -3390.50, -2860.46, 0.000, 0.000, 0.000, 13:27:28.798
2, 0.00, -3810.82, -3501.83, -2962.17, 0.000, 0.000, 0.000, 13:27:28.799
3, 0.00, -4030.91, -3710.41, -3148.71, 0.000, 0.000, 0.000, 13:27:28.803
4, 0.00, -3910.66, -3587.09, -3049.47, 0.000, 0.000, 0.000, 13:27:28.808
5, 0.00, -3670.45, -3354.25, -2843.99, 0.000, 0.000, 0.000, 13:27:28.809
6, 0.00, -3793.64, -3481.50, -2950.31, 0.000, 0.000, 0.000, 13:27:28.810
7, 0.00, -4034.50, -3693.20, -3137.53, 0.000, 0.000, 0.000, 13:27:28.810
8, 0.00, -3902.50, -3569.39, -3034.50, 0.000, 0.000, 0.000, 13:27:28.810
9, 0.00, -3662.88, -3350.76, -2824.55, 0.000, 0.000, 0.000, 13:27:28.811
10, 0.00, -3799.71, -3488.95, -2940.66, 0.000, 0.000, 0.000, 13:27:28.811
11, 0.00, -4020.57, -3692.50, -3126.87, 0.000, 0.000, 0.000, 13:27:28.812
12, 0.00, -3875.67, -3572.69, -3030.93, 0.000, 0.000, 0.000, 13:27:28.812
13, 0.00, -3661.46, -3346.91, -2838.23, 0.000, 0.000, 0.000, 13:27:28.813
14, 0.00, -3772.68, -3467.61, -2934.25, 0.000, 0.000, 0.000, 13:27:28.813
15, 0.00, -4009.16, -3676.40, -3119.04, 0.000, 0.000, 0.000, 13:27:28.814
16, 0.00, -3891.25, -3560.99, -3024.73, 0.000, 0.000, 0.000, 13:27:28.815
17, 0.00, -3659.76, -3341.88, -2827.51, 0.000, 0.000, 0.000, 13:27:28.816
18, 0.00, -3779.66, -3469.07, -2931.84, 0.000, 0.000, 0.000, 13:27:28.817
19, 0.00, -4031.18, -3691.06, -3140.00, 0.000, 0.000, 0.000, 13:27:28.818
20, 0.00, -3889.39, -3558.55, -3022.21, 0.000, 0.000, 0.000, 13:27:28.819
21, 0.00, -3649.28, -3340.50, -2816.89, 0.000, 0.000, 0.000, 13:27:28.819
22, 0.00, -3761.87, -3463.08, -2913.35, 0.000, 0.000, 0.000, 13:27:28.820
23, 0.00, -4007.52, -3679.44, -3122.49, 0.000, 0.000, 0.000, 13:27:28.820
24, 0.00, -3868.50, -3557.29, -3019.12, 0.000, 0.000, 0.000, 13:27:28.821
25, 0.00, -3630.18, -3324.12, -2815.52, 0.000, 0.000, 0.000, 13:27:28.823
26, 0.00, -3771.18, -3467.40, -2925.59, 0.000, 0.000, 0.000, 13:27:28.823
27, 0.00, -4021.86, -3691.37, -3133.75, 0.000, 0.000, 0.000, 13:27:28.824
28, 0.00, -3883.53, -3560.18, -3024.16, 0.000, 0.000, 0.000, 13:27:28.824
29, 0.00, -3652.70, -3351.44, -2834.18, 0.000, 0.000, 0.000, 13:27:28.825
30, 0.00, -3767.88, -3466.76, -2923.86, 0.000, 0.000, 0.000, 13:27:28.825
31, 0.00, -4027.56, -3697.56, -3135.04, 0.000, 0.000, 0.000, 13:27:28.826
32, 0.00, -3889.14, -3561.27, -3023.47, 0.000, 0.000, 0.000, 13:27:28.826
33, 0.00, -3658.75, -3361.87, -2837.27, 0.000, 0.000, 0.000, 13:27:28.827
34, 0.00, -3769.98, -3461.31, -2922.86, 0.000, 0.000, 0.000, 13:27:28.828
35, 0.00, -4016.63, -3681.16, -3122.32, 0.000, 0.000, 0.000, 13:27:28.828
36, 0.00, -3889.07, -3565.22, -3029.54, 0.000, 0.000, 0.000, 13:27:28.829
37, 0.00, -3649.56, -3337.14, -2829.41, 0.000, 0.000, 0.000, 13:27:28.829
38, 0.00, -3763.42, -3455.78, -2919.27, 0.000, 0.000, 0.000, 13:27:28.830
39, 0.00, -4013.73, -3690.29, -3123.86, 0.000, 0.000, 0.000, 13:27:28.830
40, 0.00, -3886.40, -3561.61, -3020.22, 0.000, 0.000, 0.000, 13:27:28.831
41, 0.00, -3644.31, -3328.63, -2823.44, 0.000, 0.000, 0.000, 13:27:28.832
42, 0.00, -3764.15, -3458.78, -2908.88, 0.000, 0.000, 0.000, 13:27:28.833
43, 0.00, -4027.71, -3692.50, -3123.71, 0.000, 0.000, 0.000, 13:27:28.835
44, 0.00, -3876.46, -3563.98, -3019.46, 0.000, 0.000, 0.000, 13:27:28.838
45, 0.00, -3648.38, -3336.16, -2828.81, 0.000, 0.000, 0.000, 13:27:28.839
46, 0.00, -3757.57, -3447.51, -2909.94, 0.000, 0.000, 0.000, 13:27:28.839
47, 0.00, -4016.03, -3691.15, -3126.38, 0.000, 0.000, 0.000, 13:27:28.840
48, 0.00, -3884.48, -3573.02, -3036.54, 0.000, 0.000, 0.000, 13:27:28.840
49, 0.00, -3631.20, -3330.55, -2836.54, 0.000, 0.000, 0.000, 13:27:28.841
50, 0.00, -3757.08, -3467.26, -2924.81, 0.000, 0.000, 0.000, 13:27:28.841
51, 0.00, -4027.33, -3699.36, -3147.76, 0.000, 0.000, 0.000, 13:27:28.842
52, 0.00, -3884.07, -3575.81, -3029.11, 0.000, 0.000, 0.000, 13:27:28.842
53, 0.00, -3635.23, -3336.29, -2827.24, 0.000, 0.000, 0.000, 13:27:28.843
54, 0.00, -3763.74, -3458.17, -2916.72, 0.000, 0.000, 0.000, 13:27:28.843
55, 0.00, -4033.28, -3693.17, -3134.89, 0.000, 0.000, 0.000, 13:27:28.844
56, 0.00, -3880.12, -3560.21, -3019.38, 0.000, 0.000, 0.000, 13:27:28.844
57, 0.00, -3636.74, -3339.14, -2829.32, 0.000, 0.000, 0.000, 13:27:28.845
58, 0.00, -3753.34, -3457.04, -2906.66, 0.000, 0.000, 0.000, 13:27:28.845
59, 0.00, -4028.33, -3691.40, -3127.03, 0.000, 0.000, 0.000, 13:27:28.846
60, 0.00, -3870.25, -3533.95, -2991.31, 0.000, 0.000, 0.000, 13:27:28.846
61, 0.00, -3636.97, -3323.66, -2810.51, 0.000, 0.000, 0.000, 13:27:28.849
62, 0.00, -3757.29, -3438.35, -2883.37, 0.000, 0.000, 0.000, 13:27:28.850
63, 0.00, -4009.27, -3667.74, -3097.15, 0.000, 0.000, 0.000, 13:27:28.850
64, 0.00, -3875.94, -3543.40, -3001.51, 0.000, 0.000, 0.000, 13:27:28.851
65, 0.00, -3629.69, -3320.47, -2814.18, 0.000, 0.000, 0.000, 13:27:28.851
66, 0.00, -3747.02, -3426.71, -2890.99, 0.000, 0.000, 0.000, 13:27:28.852
67, 0.00, -4015.15, -3663.39, -3105.10, 0.000, 0.000, 0.000, 13:27:28.852
68, 0.00, -3851.94, -3546.51, -3009.05, 0.000, 0.000, 0.000, 13:27:28.853
69, 0.00, -3623.79, -3337.88, -2825.09, 0.000, 0.000, 0.000, 13:27:28.853
70, 0.00, -3736.37, -3452.40, -2903.43, 0.000, 0.000, 0.000, 13:27:28.854
71, 0.00, -4002.02, -3680.51, -3121.99, 0.000, 0.000, 0.000, 13:27:28.855
72, 0.00, -3879.88, -3568.33, -3029.39, 0.000, 0.000, 0.000, 13:27:28.857
73, 0.00, -3649.48, -3349.87, -2844.70, 0.000, 0.000, 0.000, 13:27:28.859
74, 0.00, -3750.08, -3442.05, -2904.95, 0.000, 0.000, 0.000, 13:27:28.860
