No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-26_11-17-14
0, 0.00, 0.00, 0.00, 15.40, 0.000, 0.000, 0.000, 11:17:20.085
1, 0.00, 0.00, 0.00, 14.33, 0.000, 0.000, 0.000, 11:17:20.100
2, 0.00, 0.00, 0.00, 18.03, 0.000, 0.000, 0.000, 11:17:20.101
3, 0.00, 0.00, 0.00, 21.41, 0.000, 0.000, 0.000, 11:17:20.113
4, 0.00, 0.00, 0.00, 18.84, 0.000, 0.000, 0.000, 11:17:20.114
5, 0.00, 0.00, 0.00, 16.52, 0.000, 0.000, 0.000, 11:17:20.115
6, 0.00, 0.00, 0.00, 14.45, 0.000, 0.000, 0.000, 11:17:20.115
7, 0.00, 0.00, 0.00, 13.72, 0.000, 0.000, 0.000, 11:17:20.128
8, 0.00, 0.00, 0.00, 12.86, 0.000, 0.000, 0.000, 11:17:20.129
9, 0.00, 0.00, 0.00, 18.36, 0.000, 0.000, 0.000, 11:17:20.143
10, 0.00, 0.00, 0.00, 17.81, 0.000, 0.000, 0.000, 11:17:20.144
11, 0.00, 0.00, 0.00, 16.24, 0.000, 0.000, 0.000, 11:17:20.144
12, 0.00, 0.00, 0.00, 14.34, 0.000, 0.000, 0.000, 11:17:20.145
13, 0.00, 0.00, 0.00, 15.41, 0.000, 0.000, 0.000, 11:17:20.158
14, 0.00, 0.00, 0.00, 14.74, 0.000, 0.000, 0.000, 11:17:20.159
15, 0.00, 0.00, 0.00, 12.75, 0.000, 0.000, 0.000, 11:17:20.174
16, 0.00, 0.00, 0.00, 15.17, 0.000, 0.000, 0.000, 11:17:20.177
17, 0.00, 0.00, 0.00, 15.93, 0.000, 0.000, 0.000, 11:17:20.177
18, 0.00, 0.00, 0.00, 16.51, 0.000, 0.000, 0.000, 11:17:20.177
19, 0.00, 0.00, 0.00, 12.24, 0.000, 0.000, 0.000, 11:17:20.189
20, 0.00, 0.00, 0.00, 14.79, 0.000, 0.000, 0.000, 11:17:20.189
21, 0.00, 0.00, 0.00, 21.85, 0.000, 0.000, 0.000, 11:17:20.203
22, 0.00, 0.00, 0.00, 18.43, 0.000, 0.000, 0.000, 11:17:20.205
23, 0.00, 0.00, 0.00, 17.43, 0.000, 0.000, 0.000, 11:17:20.206
24, 0.00, 0.00, 0.00, 18.23, 0.000, 0.000, 0.000, 11:17:20.206
25, 0.00, 0.00, 0.00, 16.50, 0.000, 0.000, 0.000, 11:17:20.218
26, 0.00, 0.00, 0.00, 18.96, 0.000, 0.000, 0.000, 11:17:20.219
27, 0.00, 0.00, 0.00, 13.19, 0.000, 0.000, 0.000, 11:17:20.233
28, 0.00, 0.00, 0.00, 14.51, 0.000, 0.000, 0.000, 11:17:20.234
29, 0.00, 0.00, 0.00, 12.63, 0.000, 0.000, 0.000, 11:17:20.234
30, 0.00, 0.00, 0.00, 15.72, 0.000, 0.000, 0.000, 11:17:20.234
31, 0.00, 0.00, 0.00, 15.06, 0.000, 0.000, 0.000, 11:17:20.248
32, 0.00, 0.00, 0.00, 13.14, 0.000, 0.000, 0.000, 11:17:20.249
33, 0.00, 0.00, 0.00, 19.99, 0.000, 0.000, 0.000, 11:17:20.264
34, 0.00, 0.00, 0.00, 14.58, 0.000, 0.000, 0.000, 11:17:20.264
35, 0.00, 0.00, 0.00, 16.25, 0.000, 0.000, 0.000, 11:17:20.264
36, 0.00, 0.00, 0.00, 17.49, 0.000, 0.000, 0.000, 11:17:20.265
37, 0.00, 0.00, 0.00, 23.05, 0.000, 0.000, 0.000, 11:17:20.278
38, 0.00, 0.00, 0.00, 19.71, 0.000, 0.000, 0.000, 11:17:20.279
39, 0.00, 0.00, 0.00, 14.24, 0.000, 0.000, 0.000, 11:17:20.293
40, 0.00, 0.00, 0.00, 16.41, 0.000, 0.000, 0.000, 11:17:20.294
41, 0.00, 0.00, 0.00, 20.81, 0.000, 0.000, 0.000, 11:17:20.309
42, 0.00, 0.00, 0.00, 18.92, 0.000, 0.000, 0.000, 11:17:20.313
43, 0.00, 0.00, 0.00, 16.54, 0.000, 0.000, 0.000, 11:17:20.338
44, 0.00, 0.00, 0.00, 15.04, 0.000, 0.000, 0.000, 11:17:20.339
45, 0.00, 0.00, 0.00, 21.57, 0.000, 0.000, 0.000, 11:17:20.340
46, 0.00, 0.00, 0.00, 17.37, 0.000, 0.000, 0.000, 11:17:20.342
47, 0.00, 0.00, 0.00, 12.10, 0.000, 0.000, 0.000, 11:17:20.343
48, 0.00, 0.00, 0.00, 19.93, 0.000, 0.000, 0.000, 11:17:20.343
49, 0.00, 0.00, 0.00, 16.44, 0.000, 0.000, 0.000, 11:17:20.343
50, 0.00, 0.00, 0.00, 15.93, 0.000, 0.000, 0.000, 11:17:20.344
51, 0.00, 0.00, 0.00, 13.85, 0.000, 0.000, 0.000, 11:17:20.344
52, 0.00, 0.00, 0.00, 16.13, 0.000, 0.000, 0.000, 11:17:20.345
53, 0.00, 0.00, 0.00, 13.90, 0.000, 0.000, 0.000, 11:17:20.353
54, 0.00, 0.00, 0.00, 13.81, 0.000, 0.000, 0.000, 11:17:20.354
55, 0.00, 0.00, 0.00, 17.29, 0.000, 0.000, 0.000, 11:17:20.368
56, 0.00, 0.00, 0.00, 14.79, 0.000, 0.000, 0.000, 11:17:20.368
57, 0.00, 0.00, 0.00, 17.44, 0.000, 0.000, 0.000, 11:17:20.383
58, 0.00, 0.00, 0.00, 17.29, 0.000, 0.000, 0.000, 11:17:20.383
59, 0.00, 0.00, 0.00, 16.03, 0.000, 0.000, 0.000, 11:17:20.383
60, 0.00, 0.00, 0.00, 15.41, 0.000, 0.000, 0.000, 11:17:20.383
61, 0.00, 0.00, 0.00, 14.91, 0.000, 0.000, 0.000, 11:17:20.398
62, 0.00, 0.00, 0.00, 18.55, 0.000, 0.000, 0.000, 11:17:20.398
63, 0.00, 0.00, 0.00, 13.30, 0.000, 0.000, 0.000, 11:17:20.413
64, 0.00, 0.00, 0.00, 13.20, 0.000, 0.000, 0.000, 11:17:20.413
65, 0.00, 0.00, 0.00, 14.19, 0.000, 0.000, 0.000, 11:17:20.413
66, 0.00, 0.00, 0.00, 11.76, 0.000, 0.000, 0.000, 11:17:20.413
67, 0.00, 0.00, 0.00, 11.81, 0.000, 0.000, 0.000, 11:17:20.428
68, 0.00, 0.00, 0.00, 14.27, 0.000, 0.000, 0.000, 11:17:20.428
69, 0.00, 0.00, 0.00, 14.75, 0.000, 0.000, 0.000, 11:17:20.442
70, 0.00, 0.00, 0.00, 15.12, 0.000, 0.000, 0.000, 11:17:20.443
71, 0.00, 0.00, 0.00, 11.34, 0.000, 0.000, 0.000, 11:17:20.443
72, 0.00, 0.00, 0.00, 10.86, 0.000, 0.000, 0.000, 11:17:20.444
73, 0.00, 0.00, 0.00, 16.83, 0.000, 0.000, 0.000, 11:17:20.460
74, 0.00, 0.00, 0.00, 16.66, 0.000, 0.000, 0.000, 11:17:20.461
75, 0.00, 0.00, 0.00, 14.23, 0.000, 0.000, 0.000, 11:17:20.473
76, 0.00, 0.00, 0.00, 15.59, 0.000, 0.000, 0.000, 11:17:20.473
77, 0.00, 0.00, 0.00, 18.66, 0.000, 0.000, 0.000, 11:17:20.474
78, 0.00, 0.00, 0.00, 16.81, 0.000, 0.000, 0.000, 11:17:20.476
79, 0.00, 0.00, 0.00, 15.90, 0.000, 0.000, 0.000, 11:17:20.488
80, 0.00, 0.00, 0.00, 12.62, 0.000, 0.000, 0.000, 11:17:20.489
81, 0.00, 0.00, 0.00, 16.42, 0.000, 0.000, 0.000, 11:17:20.503
82, 0.00, 0.00, 0.00, 15.82, 0.000, 0.000, 0.000, 11:17:20.504
83, 0.00, 0.00, 0.00, 14.77, 0.000, 0.000, 0.000, 11:17:20.504
84, 0.00, 0.00, 0.00, 18.95, 0.000, 0.000, 0.000, 11:17:20.505
85, 0.00, 0.00, 0.00, 15.39, 0.000, 0.000, 0.000, 11:17:20.518
86, 0.00, 0.00, 0.00, 19.19, 0.000, 0.000, 0.000, 11:17:20.518
87, 0.00, 0.00, 0.00, 14.18, 0.000, 0.000, 0.000, 11:17:20.533
88, 0.00, 0.00, 0.00, 13.54, 0.000, 0.000, 0.000, 11:17:20.533
89, 0.00, 0.00, 0.00, 18.83, 0.000, 0.000, 0.000, 11:17:20.533
90, 0.00, 0.00, 0.00, 16.26, 0.000, 0.000, 0.000, 11:17:20.533
91, 0.00, 0.00, 0.00, 14.01, 0.000, 0.000, 0.000, 11:17:20.548
92, 0.00, 0.00, 0.00, 16.52, 0.000, 0.000, 0.000, 11:17:20.548
93, 0.00, 0.00, 0.00, 15.10, 0.000, 0.000, 0.000, 11:17:20.563
94, 0.00, 0.00, 0.00, 19.21, 0.000, 0.000, 0.000, 11:17:20.563
95, 0.00, 0.00, 0.00, 16.78, 0.000, 0.000, 0.000, 11:17:20.564
96, 0.00, 0.00, 0.00, 19.05, 0.000, 0.000, 0.000, 11:17:20.564
97, 0.00, 0.00, 0.00, 16.39, 0.000, 0.000, 0.000, 11:17:20.578
98, 0.00, 0.00, 0.00, 14.38, 0.000, 0.000, 0.000, 11:17:20.578
99, 0.00, 0.00, 0.00, 14.02, 0.000, 0.000, 0.000, 11:17:20.593
100, 0.00, 0.00, 0.00, 13.73, 0.000, 0.000, 0.000, 11:17:20.593
101, 0.00, 0.00, 0.00, 16.97, 0.000, 0.000, 0.000, 11:17:20.600
102, 0.00, 0.00, 0.00, 12.93, 0.000, 0.000, 0.000, 11:17:20.601
103, 0.00, 0.00, 0.00, 17.51, 0.000, 0.000, 0.000, 11:17:20.624
104, 0.00, 0.00, 0.00, 13.81, 0.000, 0.000, 0.000, 11:17:20.625
105, 0.00, 0.00, 0.00, 16.50, 0.000, 0.000, 0.000, 11:17:20.626
106, 0.00, 0.00, 0.00, 13.84, 0.000, 0.000, 0.000, 11:17:20.627
107, 0.00, 0.00, 0.00, 12.05, 0.000, 0.000, 0.000, 11:17:20.627
108, 0.00, 0.00, 0.00, 16.92, 0.000, 0.000, 0.000, 11:17:20.627
