%No., CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-05-26_11-20-27
0, 8.37, 0.00, 1.99, 15.48, 0.000, 0.000, 0.000, 11:20:31.253
1, 12.91, 0.00, 11.11, 19.83, 0.000, 0.000, 0.000, 11:20:31.263
2, 8.75, 0.00, 7.44, 16.43, 0.000, 0.000, 0.000, 11:20:31.264
3, 12.80, 0.00, 14.16, 18.25, 0.000, 0.000, 0.000, 11:20:31.276
4, 13.42, 0.00, 9.77, 15.05, 0.000, 0.000, 0.000, 11:20:31.279
5, 12.27, 0.00, 19.44, 18.22, 0.000, 0.000, 0.000, 11:20:31.280
6, 9.50, 0.00, 9.39, 21.00, 0.000, 0.000, 0.000, 11:20:31.281
7, 6.30, 0.00, 10.58, 13.24, 0.000, 0.000, 0.000, 11:20:31.291
8, 11.15, 0.00, 15.98, 17.21, 0.000, 0.000, 0.000, 11:20:31.292
9, 14.80, 0.00, 6.91, 20.72, 0.000, 0.000, 0.000, 11:20:31.305
10, 8.67, 0.00, 19.50, 13.21, 0.000, 0.000, 0.000, 11:20:31.306
11, 10.95, 0.00, 17.50, 14.10, 0.000, 0.000, 0.000, 11:20:31.308
12, 10.86, 0.00, 19.89, 18.22, 0.000, 0.000, 0.000, 11:20:31.308
13, 9.29, 0.00, 22.08, 14.85, 0.000, 0.000, 0.000, 11:20:31.320
14, 5.97, 0.00, 14.91, 13.72, 0.000, 0.000, 0.000, 11:20:31.322
15, 10.54, 0.00, 8.68, 14.42, 0.000, 0.000, 0.000, 11:20:31.335
16, 12.59, 0.00, 4.06, 13.39, 0.000, 0.000, 0.000, 11:20:31.336
17, 9.87, 0.00, 14.94, 16.56, 0.000, 0.000, 0.000, 11:20:31.336
18, 12.25, 0.00, 3.14, 18.67, 0.000, 0.000, 0.000, 11:20:31.337
19, 14.84, 0.00, 11.93, 18.05, 0.000, 0.000, 0.000, 11:20:31.350
20, 12.08, 0.00, 5.22, 16.89, 0.000, 0.000, 0.000, 11:20:31.350
21, 15.17, 0.00, 12.93, 19.96, 0.000, 0.000, 0.000, 11:20:31.365
22, 9.91, 0.00, 14.17, 14.90, 0.000, 0.000, 0.000, 11:20:31.365
23, 12.40, 0.00, 16.88, 13.33, 0.000, 0.000, 0.000, 11:20:31.366
24, 10.93, 0.00, 18.84, 12.87, 0.000, 0.000, 0.000, 11:20:31.366
25, 11.75, 0.00, 21.51, 16.67, 0.000, 0.000, 0.000, 11:20:31.380
26, 12.49, 0.00, 25.80, 13.59, 0.000, 0.000, 0.000, 11:20:31.380
27, 13.30, 0.00, 14.47, 17.23, 0.000, 0.000, 0.000, 11:20:31.395
28, 13.43, 0.00, 14.76, 20.20, 0.000, 0.000, 0.000, 11:20:31.395
29, 11.74, 0.00, 8.99, 14.78, 0.000, 0.000, 0.000, 11:20:31.396
30, 7.74, 0.00, 6.74, 12.85, 0.000, 0.000, 0.000, 11:20:31.396
31, 12.29, 0.00, 13.14, 13.88, 0.000, 0.000, 0.000, 11:20:31.412
32, 13.65, 0.00, 8.85, 16.85, 0.000, 0.000, 0.000, 11:20:31.414
33, 11.69, 0.00, 18.94, 19.91, 0.000, 0.000, 0.000, 11:20:31.427
34, 9.15, 0.00, 8.45, 15.42, 0.000, 0.000, 0.000, 11:20:31.429
35, 13.52, 0.00, -3.66, 13.92, 0.000, 0.000, 0.000, 11:20:31.430
36, 14.11, 0.00, 9.96, 12.67, 0.000, 0.000, 0.000, 11:20:31.431
37, 12.22, 0.00, 10.29, 20.33, 0.000, 0.000, 0.000, 11:20:31.442
38, 12.71, 0.00, 18.55, 20.27, 0.000, 0.000, 0.000, 11:20:31.443
39, 9.28, 0.00, 9.84, 17.46, 0.000, 0.000, 0.000, 11:20:31.455
40, 12.44, 0.00, 10.30, 16.19, 0.000, 0.000, 0.000, 11:20:31.456
41, 9.18, 0.00, 16.10, 17.24, 0.000, 0.000, 0.000, 11:20:31.458
42, 16.10, 0.00, 19.05, 17.02, 0.000, 0.000, 0.000, 11:20:31.459
43, 12.98, 0.00, 15.59, 11.54, 0.000, 0.000, 0.000, 11:20:31.470
44, 12.70, 0.00, 10.57, 15.29, 0.000, 0.000, 0.000, 11:20:31.470
45, 7.95, 0.00, 18.23, 16.81, 0.000, 0.000, 0.000, 11:20:31.486
46, 11.03, 0.00, 15.62, 15.96, 0.000, 0.000, 0.000, 11:20:31.486
47, 11.85, 0.00, 11.78, 15.06, 0.000, 0.000, 0.000, 11:20:31.487
48, 13.12, 0.00, 11.28, 13.04, 0.000, 0.000, 0.000, 11:20:31.487
49, 9.19, 0.00, 11.19, 15.40, 0.000, 0.000, 0.000, 11:20:31.500
50, 13.11, 0.00, 13.65, 16.19, 0.000, 0.000, 0.000, 11:20:31.501
51, 10.85, 0.00, 10.37, 15.06, 0.000, 0.000, 0.000, 11:20:31.515
52, 11.38, 0.00, 12.19, 14.62, 0.000, 0.000, 0.000, 11:20:31.516
53, 16.23, 0.00, 11.76, 15.43, 0.000, 0.000, 0.000, 11:20:31.516
54, 12.20, 0.00, 12.46, 14.89, 0.000, 0.000, 0.000, 11:20:31.516
55, 11.63, 0.00, 16.42, 17.75, 0.000, 0.000, 0.000, 11:20:31.530
56, 11.41, 0.00, 12.30, 17.87, 0.000, 0.000, 0.000, 11:20:31.531
57, 15.18, 0.00, 9.15, 18.91, 0.000, 0.000, 0.000, 11:20:31.548
58, 10.34, 0.00, 13.30, 12.71, 0.000, 0.000, 0.000, 11:20:31.548
