No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-08-10_15-48-15
0, -3348.41, -3900.82, -2197.44, -1906.36, 0.000, 0.000, 0.000, 15:48:20.112
1, -3199.38, -3746.72, -2027.37, -1767.34, 0.000, 0.000, 0.000, 15:48:20.135
2, -3653.71, -4200.31, -2499.88, -2147.11, 0.000, 0.000, 0.000, 15:48:20.139
3, -3683.27, -4249.65, -2548.20, -2191.11, 0.000, 0.000, 0.000, 15:48:20.140
4, -3348.06, -3917.20, -2204.17, -1913.95, 0.000, 0.000, 0.000, 15:48:20.141
5, -3183.91, -3744.34, -2014.80, -1753.22, 0.000, 0.000, 0.000, 15:48:20.142
6, -3641.61, -4210.31, -2493.83, -2145.32, 0.000, 0.000, 0.000, 15:48:20.145
7, -3696.46, -4262.17, -2570.23, -2211.46, 0.000, 0.000, 0.000, 15:48:20.146
8, -3329.25, -3886.56, -2180.07, -1896.03, 0.000, 0.000, 0.000, 15:48:20.147
9, -3174.95, -3726.63, -2006.35, -1745.39, 0.000, 0.000, 0.000, 15:48:20.148
10, -3646.93, -4200.98, -2493.10, -2146.07, 0.000, 0.000, 0.000, 15:48:20.148
11, -3695.57, -4253.16, -2564.11, -2215.48, 0.000, 0.000, 0.000, 15:48:20.149
12, -3333.50, -3902.72, -2211.00, -1909.42, 0.000, 0.000, 0.000, 15:48:20.150
13, -3164.68, -3734.63, -2017.17, -1745.89, 0.000, 0.000, 0.000, 15:48:20.160
14, -3643.68, -4200.97, -2497.51, -2139.08, 0.000, 0.000, 0.000, 15:48:20.161
15, -3691.05, -4256.07, -2564.64, -2207.62, 0.000, 0.000, 0.000, 15:48:20.176
16, -3321.06, -3880.49, -2181.67, -1890.27, 0.000, 0.000, 0.000, 15:48:20.179
17, -3152.95, -3710.06, -1995.83, -1732.22, 0.000, 0.000, 0.000, 15:48:20.180
18, -3630.23, -4188.82, -2488.23, -2133.94, 0.000, 0.000, 0.000, 15:48:20.181
19, -3673.74, -4238.17, -2542.97, -2188.41, 0.000, 0.000, 0.000, 15:48:20.191
20, -3301.43, -3870.31, -2169.60, -1873.41, 0.000, 0.000, 0.000, 15:48:20.192
21, -3125.60, -3700.25, -1964.23, -1707.70, 0.000, 0.000, 0.000, 15:48:20.207
22, -3608.40, -4176.65, -2454.15, -2099.58, 0.000, 0.000, 0.000, 15:48:20.208
23, -3660.93, -4224.79, -2528.28, -2170.09, 0.000, 0.000, 0.000, 15:48:20.210
24, -3303.99, -3878.72, -2163.86, -1873.44, 0.000, 0.000, 0.000, 15:48:20.212
25, -3137.19, -3709.66, -1986.72, -1718.15, 0.000, 0.000, 0.000, 15:48:20.221
26, -3610.97, -4176.22, -2464.78, -2110.75, 0.000, 0.000, 0.000, 15:48:20.223
27, -3662.75, -4233.68, -2542.22, -2175.14, 0.000, 0.000, 0.000, 15:48:20.236
28, -3293.94, -3868.36, -2157.01, -1859.56, 0.000, 0.000, 0.000, 15:48:20.238
29, -3142.51, -3702.45, -1977.76, -1709.56, 0.000, 0.000, 0.000, 15:48:20.241
30, -3610.21, -4175.37, -2454.10, -2103.00, 0.000, 0.000, 0.000, 15:48:20.243
31, -3662.78, -4229.15, -2538.90, -2177.78, 0.000, 0.000, 0.000, 15:48:20.249
32, -3298.55, -3866.63, -2156.40, -1872.62, 0.000, 0.000, 0.000, 15:48:20.250
33, -3133.89, -3694.08, -1971.58, -1708.17, 0.000, 0.000, 0.000, 15:48:20.268
34, -3636.13, -4188.35, -2489.74, -2137.46, 0.000, 0.000, 0.000, 15:48:20.270
35, -3677.97, -4244.52, -2546.71, -2202.27, 0.000, 0.000, 0.000, 15:48:20.273
36, -3312.77, -3880.80, -2177.20, -1883.84, 0.000, 0.000, 0.000, 15:48:20.278
37, -3147.67, -3710.63, -1990.89, -1718.54, 0.000, 0.000, 0.000, 15:48:20.280
38, -3613.59, -4180.72, -2468.18, -2115.65, 0.000, 0.000, 0.000, 15:48:20.281
