No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-08-29_17-59-31
0, -4151.48, -3995.68, 361.90, 303.18, 0.000, 0.000, 0.000, 17:59:43.894
1, -4140.75, -3995.54, 384.63, 352.52, 0.000, 0.000, 0.000, 17:59:43.907
2, -4163.35, -4016.16, 403.87, 342.65, 0.000, 0.000, 0.000, 17:59:43.911
3, -4172.70, -4022.63, 282.35, 237.50, 0.000, 0.000, 0.000, 17:59:43.915
4, -4169.09, -4022.21, 353.41, 285.05, 0.000, 0.000, 0.000, 17:59:43.916
5, -4142.02, -3988.21, 387.04, 351.04, 0.000, 0.000, 0.000, 17:59:43.918
6, -4160.52, -4003.58, 410.29, 356.66, 0.000, 0.000, 0.000, 17:59:43.922
7, -4167.44, -4007.74, 275.18, 247.16, 0.000, 0.000, 0.000, 17:59:43.929
8, -4152.18, -3993.63, 365.89, 295.33, 0.000, 0.000, 0.000, 17:59:43.930
9, -4136.58, -3974.14, 385.69, 358.39, 0.000, 0.000, 0.000, 17:59:43.945
10, -4148.65, -3983.05, 424.77, 380.04, 0.000, 0.000, 0.000, 17:59:43.946
11, -4161.07, -4004.68, 304.48, 273.00, 0.000, 0.000, 0.000, 17:59:43.948
12, -4150.85, -3986.85, 378.28, 317.55, 0.000, 0.000, 0.000, 17:59:43.949
13, -4122.14, -3966.58, 407.64, 391.60, 0.000, 0.000, 0.000, 17:59:43.959
14, -4138.44, -3983.50, 429.84, 374.71, 0.000, 0.000, 0.000, 17:59:43.959
15, -4169.02, -4014.97, 294.21, 263.71, 0.000, 0.000, 0.000, 17:59:43.977
16, -4149.71, -3988.69, 365.92, 303.99, 0.000, 0.000, 0.000, 17:59:43.979
17, -4127.50, -3969.60, 390.75, 379.90, 0.000, 0.000, 0.000, 17:59:43.980
18, -4139.21, -3985.53, 420.40, 377.07, 0.000, 0.000, 0.000, 17:59:43.985
19, -4170.25, -4017.58, 290.90, 253.50, 0.000, 0.000, 0.000, 17:59:43.991
20, -4158.72, -4005.12, 364.83, 311.67, 0.000, 0.000, 0.000, 17:59:43.994
21, -4124.44, -3973.39, 403.24, 375.11, 0.000, 0.000, 0.000, 17:59:44.019
22, -4144.41, -3996.14, 415.93, 366.45, 0.000, 0.000, 0.000, 17:59:44.025
23, -4176.69, -4030.00, 288.02, 251.55, 0.000, 0.000, 0.000, 17:59:44.026
24, -4160.97, -4003.27, 365.98, 305.55, 0.000, 0.000, 0.000, 17:59:44.030
25, -4135.57, -3977.96, 398.48, 383.02, 0.000, 0.000, 0.000, 17:59:44.030
26, -4140.21, -3982.08, 419.66, 390.05, 0.000, 0.000, 0.000, 17:59:44.031
27, -4181.64, -4019.87, 287.04, 247.73, 0.000, 0.000, 0.000, 17:59:44.032
28, -4161.32, -4004.17, 362.48, 299.12, 0.000, 0.000, 0.000, 17:59:44.037
29, -4120.94, -3973.66, 396.45, 376.06, 0.000, 0.000, 0.000, 17:59:44.041
