No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-08-29_17-51-58
0, -3909.17, -3740.19, 513.63, 325.52, 0.000, 0.000, 0.000, 17:52:00.751
1, -3963.06, -3800.74, 488.22, 399.48, 0.000, 0.000, 0.000, 17:52:00.765
2, -4073.97, -3912.82, 497.70, 430.74, 0.000, 0.000, 0.000, 17:52:00.765
3, -3966.78, -3795.89, 361.17, 145.34, 0.000, 0.000, 0.000, 17:52:00.781
4, -3898.05, -3744.03, 509.53, 313.35, 0.000, 0.000, 0.000, 17:52:00.781
5, -3930.56, -3780.05, 496.20, 413.09, 0.000, 0.000, 0.000, 17:52:00.782
6, -4044.56, -3876.98, 520.46, 449.32, 0.000, 0.000, 0.000, 17:52:00.782
7, -3950.80, -3797.27, 377.53, 150.46, 0.000, 0.000, 0.000, 17:52:00.797
8, -3883.51, -3720.07, 531.57, 317.42, 0.000, 0.000, 0.000, 17:52:00.797
9, -3926.26, -3771.47, 516.58, 397.82, 0.000, 0.000, 0.000, 17:52:00.813
10, -4007.16, -3854.74, 546.03, 438.45, 0.000, 0.000, 0.000, 17:52:00.814
11, -3953.09, -3803.76, 405.08, 141.88, 0.000, 0.000, 0.000, 17:52:00.814
12, -3893.33, -3741.48, 536.55, 301.02, 0.000, 0.000, 0.000, 17:52:00.815
13, -3906.29, -3761.96, 518.72, 391.95, 0.000, 0.000, 0.000, 17:52:00.825
14, -3978.69, -3824.40, 546.17, 444.99, 0.000, 0.000, 0.000, 17:52:00.825
15, -3982.64, -3823.30, 388.06, 132.43, 0.000, 0.000, 0.000, 17:52:00.843
16, -3931.50, -3771.26, 506.56, 263.12, 0.000, 0.000, 0.000, 17:52:00.844
17, -3925.76, -3776.21, 505.28, 370.42, 0.000, 0.000, 0.000, 17:52:00.845
18, -3976.42, -3827.59, 553.05, 459.59, 0.000, 0.000, 0.000, 17:52:00.845
19, -4002.48, -3860.94, 402.75, 141.50, 0.000, 0.000, 0.000, 17:52:00.858
20, -3934.27, -3774.71, 510.04, 286.61, 0.000, 0.000, 0.000, 17:52:00.858
21, -3921.59, -3773.65, 511.04, 383.51, 0.000, 0.000, 0.000, 17:52:00.873
22, -3943.87, -3803.35, 574.18, 474.38, 0.000, 0.000, 0.000, 17:52:00.873
23, -4001.97, -3848.56, 418.43, 156.18, 0.000, 0.000, 0.000, 17:52:00.876
24, -3939.75, -3775.47, 492.95, 263.92, 0.000, 0.000, 0.000, 17:52:00.877
25, -3915.80, -3771.92, 495.93, 369.24, 0.000, 0.000, 0.000, 17:52:00.885
26, -3944.47, -3796.45, 555.46, 449.62, 0.000, 0.000, 0.000, 17:52:00.886
27, -4006.56, -3863.67, 394.47, 116.41, 0.000, 0.000, 0.000, 17:52:00.900
28, -3943.97, -3798.35, 480.87, 230.85, 0.000, 0.000, 0.000, 17:52:00.900
