No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-10-06_18-35-02
0, -4542.21, -4887.95, 857.40, 999.33, 0.000, 0.000, 0.000, 18:35:07.773
1, -4529.97, -4881.14, 862.81, 1009.84, 0.000, 0.000, 0.000, 18:35:07.812
2, -4532.24, -4887.32, 862.20, 1003.22, 0.000, 0.000, 0.000, 18:35:07.813
3, -4522.52, -4877.98, 878.22, 1014.90, 0.000, 0.000, 0.000, 18:35:07.820
4, -4528.31, -4878.30, 872.75, 1010.12, 0.000, 0.000, 0.000, 18:35:07.821
5, -4517.83, -4871.15, 875.33, 1018.55, 0.000, 0.000, 0.000, 18:35:07.821
6, -4516.40, -4866.51, 876.48, 1012.29, 0.000, 0.000, 0.000, 18:35:07.822
7, -4515.36, -4879.02, 869.85, 1008.57, 0.000, 0.000, 0.000, 18:35:07.822
8, -4526.24, -4875.23, 864.48, 1012.52, 0.000, 0.000, 0.000, 18:35:07.823
9, -4524.29, -4879.47, 867.66, 1016.47, 0.000, 0.000, 0.000, 18:35:07.827
10, -4521.33, -4876.22, 881.19, 1025.14, 0.000, 0.000, 0.000, 18:35:07.827
11, -4519.57, -4871.13, 880.61, 1017.18, 0.000, 0.000, 0.000, 18:35:07.828
12, -4514.31, -4880.38, 882.96, 1016.99, 0.000, 0.000, 0.000, 18:35:07.829
13, -4524.05, -4888.68, 869.07, 1010.40, 0.000, 0.000, 0.000, 18:35:07.840
14, -4535.82, -4881.64, 865.20, 1015.87, 0.000, 0.000, 0.000, 18:35:07.841
15, -4537.29, -4881.66, 863.77, 1018.89, 0.000, 0.000, 0.000, 18:35:07.872
16, -4533.24, -4874.09, 872.05, 1020.89, 0.000, 0.000, 0.000, 18:35:07.872
17, -4532.84, -4880.91, 870.51, 1019.99, 0.000, 0.000, 0.000, 18:35:07.874
18, -4522.97, -4866.34, 879.10, 1020.58, 0.000, 0.000, 0.000, 18:35:07.876
19, -4520.48, -4873.05, 879.16, 1019.01, 0.000, 0.000, 0.000, 18:35:07.877
20, -4515.43, -4870.73, 877.00, 1021.37, 0.000, 0.000, 0.000, 18:35:07.877
21, -4517.65, -4867.44, 881.45, 1018.46, 0.000, 0.000, 0.000, 18:35:07.877
22, -4498.10, -4867.24, 882.34, 1018.24, 0.000, 0.000, 0.000, 18:35:07.878
23, -4507.14, -4865.85, 881.31, 1019.87, 0.000, 0.000, 0.000, 18:35:07.886
24, -4503.87, -4862.89, 881.65, 1016.14, 0.000, 0.000, 0.000, 18:35:07.887
25, -4502.43, -4867.74, 886.78, 1018.06, 0.000, 0.000, 0.000, 18:35:07.930
26, -4512.60, -4877.78, 880.38, 1011.27, 0.000, 0.000, 0.000, 18:35:07.930
27, -4511.96, -4872.35, 874.68, 1015.74, 0.000, 0.000, 0.000, 18:35:07.932
28, -4509.33, -4876.38, 875.76, 1014.63, 0.000, 0.000, 0.000, 18:35:07.932
29, -4497.34, -4869.35, 877.92, 1021.09, 0.000, 0.000, 0.000, 18:35:07.935
30, -4511.10, -4873.37, 872.36, 1017.22, 0.000, 0.000, 0.000, 18:35:07.936
31, -4518.43, -4872.45, 876.45, 1022.15, 0.000, 0.000, 0.000, 18:35:07.945
32, -4519.67, -4876.64, 869.65, 1019.92, 0.000, 0.000, 0.000, 18:35:07.946
33, -4529.23, -4876.13, 866.43, 1028.09, 0.000, 0.000, 0.000, 18:35:07.948
34, -4531.82, -4880.75, 862.43, 1027.00, 0.000, 0.000, 0.000, 18:35:07.949
35, -4520.21, -4869.74, 868.19, 1031.90, 0.000, 0.000, 0.000, 18:35:07.954
36, -4517.61, -4863.92, 860.21, 1026.20, 0.000, 0.000, 0.000, 18:35:07.955
37, -4510.67, -4875.44, 848.72, 1019.51, 0.000, 0.000, 0.000, 18:35:07.960
38, -4506.42, -4880.00, 847.78, 1016.06, 0.000, 0.000, 0.000, 18:35:07.960
39, -4500.25, -4865.31, 856.64, 1020.70, 0.000, 0.000, 0.000, 18:35:07.988
40, -4504.20, -4869.28, 854.11, 1025.91, 0.000, 0.000, 0.000, 18:35:07.989
41, -4516.62, -4878.26, 840.52, 1019.82, 0.000, 0.000, 0.000, 18:35:07.994
42, -4507.37, -4858.53, 842.40, 1028.02, 0.000, 0.000, 0.000, 18:35:07.994
43, -4508.53, -4861.28, 849.84, 1028.82, 0.000, 0.000, 0.000, 18:35:08.027
44, -4500.79, -4864.06, 840.46, 1028.55, 0.000, 0.000, 0.000, 18:35:08.030
45, -4484.31, -4856.09, 842.36, 1035.92, 0.000, 0.000, 0.000, 18:35:08.042
46, -4503.34, -4852.44, 837.19, 1036.92, 0.000, 0.000, 0.000, 18:35:08.054
47, -4504.57, -4856.09, 836.07, 1033.52, 0.000, 0.000, 0.000, 18:35:08.054
48, -4492.04, -4851.95, 834.40, 1035.66, 0.000, 0.000, 0.000, 18:35:08.055
49, -4507.11, -4865.93, 818.52, 1028.30, 0.000, 0.000, 0.000, 18:35:08.055
50, -4502.31, -4864.14, 825.37, 1027.35, 0.000, 0.000, 0.000, 18:35:08.056
51, -4515.06, -4870.44, 825.24, 1026.78, 0.000, 0.000, 0.000, 18:35:08.061
52, -4508.17, -4866.28, 820.00, 1028.03, 0.000, 0.000, 0.000, 18:35:08.061
53, -4511.22, -4864.06, 822.57, 1033.28, 0.000, 0.000, 0.000, 18:35:08.063
54, -4498.88, -4849.37, 828.28, 1035.05, 0.000, 0.000, 0.000, 18:35:08.064
55, -4496.13, -4845.60, 832.23, 1030.68, 0.000, 0.000, 0.000, 18:35:08.081
56, -4499.70, -4839.97, 826.15, 1026.26, 0.000, 0.000, 0.000, 18:35:08.082
57, -4495.13, -4847.92, 831.30, 1026.71, 0.000, 0.000, 0.000, 18:35:08.084
58, -4488.00, -4839.74, 850.27, 1036.23, 0.000, 0.000, 0.000, 18:35:08.084
59, -4491.56, -4857.48, 845.98, 1026.68, 0.000, 0.000, 0.000, 18:35:08.088
60, -4486.96, -4848.39, 844.06, 1029.90, 0.000, 0.000, 0.000, 18:35:08.089
61, -4485.67, -4848.07, 843.26, 1026.61, 0.000, 0.000, 0.000, 18:35:08.092
62, -4486.01, -4828.99, 854.74, 1033.59, 0.000, 0.000, 0.000, 18:35:08.092
63, -4491.17, -4844.52, 854.64, 1030.58, 0.000, 0.000, 0.000, 18:35:08.098
64, -4477.71, -4828.21, 848.52, 1024.33, 0.000, 0.000, 0.000, 18:35:08.098
65, -4477.78, -4820.40, 848.52, 1020.61, 0.000, 0.000, 0.000, 18:35:08.098
66, -4460.19, -4813.35, 863.81, 1025.53, 0.000, 0.000, 0.000, 18:35:08.099
67, -4474.11, -4806.34, 867.47, 1027.92, 0.000, 0.000, 0.000, 18:35:08.120
68, -4461.29, -4798.08, 868.36, 1025.08, 0.000, 0.000, 0.000, 18:35:08.121
69, -4445.27, -4795.19, 861.27, 1026.11, 0.000, 0.000, 0.000, 18:35:08.129
70, -4436.22, -4785.85, 879.91, 1039.05, 0.000, 0.000, 0.000, 18:35:08.129
71, -4433.11, -4795.34, 884.60, 1044.77, 0.000, 0.000, 0.000, 18:35:08.156
72, -4437.87, -4795.57, 883.82, 1036.43, 0.000, 0.000, 0.000, 18:35:08.157
73, -4427.22, -4780.16, 885.22, 1037.45, 0.000, 0.000, 0.000, 18:35:08.158
74, -4433.99, -4790.32, 888.89, 1036.23, 0.000, 0.000, 0.000, 18:35:08.158
75, -4445.69, -4803.25, 885.85, 1032.11, 0.000, 0.000, 0.000, 18:35:08.161
76, -4464.54, -4820.98, 878.19, 1024.41, 0.000, 0.000, 0.000, 18:35:08.162
77, -4485.62, -4834.88, 869.97, 1019.85, 0.000, 0.000, 0.000, 18:35:08.165
78, -4486.86, -4826.84, 887.87, 1028.63, 0.000, 0.000, 0.000, 18:35:08.166
79, -4504.70, -4844.41, 879.76, 1028.67, 0.000, 0.000, 0.000, 18:35:08.172
80, -4522.63, -4870.62, 874.40, 1015.96, 0.000, 0.000, 0.000, 18:35:08.176
81, -4520.14, -4871.40, 883.19, 1020.85, 0.000, 0.000, 0.000, 18:35:08.194
82, -4536.36, -4879.04, 886.57, 1017.82, 0.000, 0.000, 0.000, 18:35:08.194
83, -4528.16, -4877.13, 890.93, 1019.68, 0.000, 0.000, 0.000, 18:35:08.194
84, -4529.93, -4876.44, 894.80, 1015.46, 0.000, 0.000, 0.000, 18:35:08.194
85, -4539.63, -4896.97, 899.20, 1012.88, 0.000, 0.000, 0.000, 18:35:08.245
86, -4527.55, -4889.20, 895.58, 1017.80, 0.000, 0.000, 0.000, 18:35:08.246
87, -4526.00, -4882.51, 901.65, 1029.57, 0.000, 0.000, 0.000, 18:35:08.254
88, -4540.82, -4905.23, 889.18, 1028.56, 0.000, 0.000, 0.000, 18:35:08.254
89, -4546.27, -4905.30, 890.91, 1024.04, 0.000, 0.000, 0.000, 18:35:08.255
90, -4542.01, -4899.91, 884.75, 1026.74, 0.000, 0.000, 0.000, 18:35:08.255
91, -4545.93, -4903.39, 883.12, 1019.53, 0.000, 0.000, 0.000, 18:35:08.256
92, -4537.73, -4898.13, 887.61, 1015.77, 0.000, 0.000, 0.000, 18:35:08.256
93, -4540.72, -4900.36, 889.19, 1009.06, 0.000, 0.000, 0.000, 18:35:08.257
94, -4535.11, -4901.21, 889.62, 1007.48, 0.000, 0.000, 0.000, 18:35:08.257
95, -4531.40, -4893.62, 898.57, 1016.65, 0.000, 0.000, 0.000, 18:35:08.262
96, -4542.93, -4894.60, 898.53, 1020.05, 0.000, 0.000, 0.000, 18:35:08.262
97, -4531.05, -4889.34, 905.11, 1031.95, 0.000, 0.000, 0.000, 18:35:08.291
98, -4533.38, -4893.49, 896.88, 1027.34, 0.000, 0.000, 0.000, 18:35:08.293
99, -4525.85, -4885.69, 904.08, 1026.34, 0.000, 0.000, 0.000, 18:35:08.297
100, -4524.16, -4884.91, 908.33, 1033.66, 0.000, 0.000, 0.000, 18:35:08.298
101, -4522.00, -4882.33, 905.52, 1029.93, 0.000, 0.000, 0.000, 18:35:08.298
102, -4518.83, -4881.22, 911.09, 1025.39, 0.000, 0.000, 0.000, 18:35:08.298
103, -4529.03, -4886.53, 908.00, 1020.16, 0.000, 0.000, 0.000, 18:35:08.305
104, -4527.84, -4896.59, 906.95, 1016.07, 0.000, 0.000, 0.000, 18:35:08.306
105, -4528.91, -4895.55, 897.58, 1017.55, 0.000, 0.000, 0.000, 18:35:08.307
106, -4527.78, -4887.29, 895.68, 1016.76, 0.000, 0.000, 0.000, 18:35:08.307
107, -4528.89, -4891.08, 895.95, 1018.46, 0.000, 0.000, 0.000, 18:35:08.322
108, -4537.63, -4892.08, 884.79, 1009.68, 0.000, 0.000, 0.000, 18:35:08.323
109, -4522.89, -4881.42, 896.68, 1022.76, 0.000, 0.000, 0.000, 18:35:08.327
110, -4543.22, -4897.48, 888.70, 1013.87, 0.000, 0.000, 0.000, 18:35:08.327
111, -4542.75, -4893.28, 883.56, 1013.32, 0.000, 0.000, 0.000, 18:35:08.337
112, -4544.91, -4892.72, 878.78, 1001.89, 0.000, 0.000, 0.000, 18:35:08.337
113, -4538.16, -4886.94, 884.25, 1008.79, 0.000, 0.000, 0.000, 18:35:08.337
114, -4536.51, -4876.57, 885.27, 1014.27, 0.000, 0.000, 0.000, 18:35:08.337
115, -4536.14, -4876.86, 882.85, 1009.27, 0.000, 0.000, 0.000, 18:35:08.386
116, -4531.30, -4880.47, 884.76, 1015.08, 0.000, 0.000, 0.000, 18:35:08.386
117, -4533.36, -4877.63, 886.16, 1014.57, 0.000, 0.000, 0.000, 18:35:08.388
118, -4524.00, -4862.27, 893.04, 1023.98, 0.000, 0.000, 0.000, 18:35:08.389
119, -4521.97, -4870.29, 891.05, 1024.15, 0.000, 0.000, 0.000, 18:35:08.392
120, -4520.96, -4871.66, 890.00, 1023.84, 0.000, 0.000, 0.000, 18:35:08.392
121, -4516.38, -4875.66, 888.07, 1022.86, 0.000, 0.000, 0.000, 18:35:08.397
122, -4506.72, -4875.58, 891.00, 1021.48, 0.000, 0.000, 0.000, 18:35:08.397
123, -4513.56, -4879.54, 881.98, 1020.73, 0.000, 0.000, 0.000, 18:35:08.400
124, -4507.62, -4881.95, 886.10, 1017.27, 0.000, 0.000, 0.000, 18:35:08.403
125, -4531.45, -4878.98, 878.84, 1018.56, 0.000, 0.000, 0.000, 18:35:08.405
126, -4532.33, -4873.21, 874.45, 1014.69, 0.000, 0.000, 0.000, 18:35:08.406
127, -4519.72, -4867.33, 876.25, 1020.02, 0.000, 0.000, 0.000, 18:35:08.432
128, -4506.59, -4864.88, 871.96, 1017.50, 0.000, 0.000, 0.000, 18:35:08.434
129, -4498.77, -4854.43, 885.65, 1025.22, 0.000, 0.000, 0.000, 18:35:08.439
130, -4495.38, -4854.43, 886.43, 1017.11, 0.000, 0.000, 0.000, 18:35:08.439
131, -4499.14, -4866.56, 881.95, 1021.77, 0.000, 0.000, 0.000, 18:35:08.442
132, -4498.08, -4863.66, 889.16, 1023.25, 0.000, 0.000, 0.000, 18:35:08.443
133, -4509.17, -4864.87, 886.12, 1016.36, 0.000, 0.000, 0.000, 18:35:08.445
134, -4512.00, -4868.77, 883.44, 1017.74, 0.000, 0.000, 0.000, 18:35:08.445
135, -4518.04, -4879.11, 876.30, 1017.10, 0.000, 0.000, 0.000, 18:35:08.504
136, -4518.28, -4876.49, 874.12, 1012.07, 0.000, 0.000, 0.000, 18:35:08.505
137, -4514.71, -4867.57, 873.07, 1013.82, 0.000, 0.000, 0.000, 18:35:08.511
138, -4518.49, -4866.86, 882.39, 1015.88, 0.000, 0.000, 0.000, 18:35:08.511
139, -4498.22, -4866.91, 887.55, 1020.13, 0.000, 0.000, 0.000, 18:35:08.512
140, -4502.89, -4869.76, 877.11, 1016.24, 0.000, 0.000, 0.000, 18:35:08.516
141, -4509.91, -4861.95, 878.46, 1024.07, 0.000, 0.000, 0.000, 18:35:08.527
142, -4498.44, -4853.84, 878.52, 1023.43, 0.000, 0.000, 0.000, 18:35:08.528
143, -4498.36, -4856.96, 880.14, 1017.19, 0.000, 0.000, 0.000, 18:35:08.528
144, -4504.30, -4867.64, 882.01, 1017.42, 0.000, 0.000, 0.000, 18:35:08.529
145, -4505.83, -4871.09, 882.93, 1019.29, 0.000, 0.000, 0.000, 18:35:08.530
146, -4516.23, -4881.37, 881.96, 1021.90, 0.000, 0.000, 0.000, 18:35:08.530
147, -4509.48, -4871.42, 887.05, 1030.24, 0.000, 0.000, 0.000, 18:35:08.544
148, -4505.07, -4872.19, 893.95, 1033.73, 0.000, 0.000, 0.000, 18:35:08.544
149, -4513.53, -4867.67, 888.74, 1031.78, 0.000, 0.000, 0.000, 18:35:08.544
150, -4524.32, -4881.66, 873.38, 1017.80, 0.000, 0.000, 0.000, 18:35:08.545
151, -4526.09, -4884.38, 875.22, 1018.43, 0.000, 0.000, 0.000, 18:35:08.545
152, -4528.18, -4882.63, 873.18, 1013.13, 0.000, 0.000, 0.000, 18:35:08.545
153, -4516.71, -4875.89, 879.17, 1012.67, 0.000, 0.000, 0.000, 18:35:08.546
154, -4514.06, -4874.42, 879.01, 1019.33, 0.000, 0.000, 0.000, 18:35:08.546
155, -4502.67, -4867.47, 881.46, 1022.21, 0.000, 0.000, 0.000, 18:35:08.638
156, -4502.52, -4858.86, 883.98, 1028.70, 0.000, 0.000, 0.000, 18:35:08.638
157, -4507.74, -4860.43, 892.58, 1024.69, 0.000, 0.000, 0.000, 18:35:08.643
158, -4502.10, -4858.40, 893.55, 1027.03, 0.000, 0.000, 0.000, 18:35:08.643
159, -4499.01, -4851.87, 894.20, 1030.14, 0.000, 0.000, 0.000, 18:35:08.648
160, -4512.00, -4865.31, 877.39, 1018.67, 0.000, 0.000, 0.000, 18:35:08.648
161, -4508.73, -4865.14, 879.32, 1018.14, 0.000, 0.000, 0.000, 18:35:08.657
162, -4505.56, -4864.38, 886.29, 1017.88, 0.000, 0.000, 0.000, 18:35:08.657
163, -4512.22, -4866.62, 875.66, 1019.16, 0.000, 0.000, 0.000, 18:35:08.658
164, -4508.44, -4878.32, 867.17, 1013.63, 0.000, 0.000, 0.000, 18:35:08.659
165, -4514.99, -4860.41, 875.35, 1021.50, 0.000, 0.000, 0.000, 18:35:08.663
166, -4517.10, -4864.50, 871.42, 1017.59, 0.000, 0.000, 0.000, 18:35:08.664
167, -4505.07, -4857.73, 882.98, 1025.30, 0.000, 0.000, 0.000, 18:35:08.665
168, -4506.91, -4855.44, 887.49, 1026.56, 0.000, 0.000, 0.000, 18:35:08.665
169, -4499.57, -4855.61, 885.43, 1024.08, 0.000, 0.000, 0.000, 18:35:08.671
170, -4503.40, -4859.49, 884.42, 1017.73, 0.000, 0.000, 0.000, 18:35:08.672
171, -4512.63, -4867.53, 879.40, 1011.05, 0.000, 0.000, 0.000, 18:35:08.673
172, -4500.76, -4864.12, 881.93, 1017.34, 0.000, 0.000, 0.000, 18:35:08.674
173, -4511.20, -4865.58, 867.05, 1009.74, 0.000, 0.000, 0.000, 18:35:08.676
174, -4506.14, -4857.89, 870.95, 1019.85, 0.000, 0.000, 0.000, 18:35:08.680
175, -4512.50, -4860.86, 865.03, 1018.84, 0.000, 0.000, 0.000, 18:35:08.681
