%0o,	Fokus, Waktu
0, 0, 13:44:46.638
1, 0, 13:44:46.654
2, 0, 13:44:46.671
3, 0, 13:44:46.689
4, 0, 13:44:46.704
5, 0, 13:44:46.730
6, 0, 13:44:46.738
7, 0, 13:44:46.754
8, 0, 13:44:46.773
9, 0, 13:44:46.789
10, 0, 13:44:46.804
11, 0, 13:44:46.824
12, 0, 13:44:46.839
13, 0, 13:44:46.856
14, 0, 13:44:46.877
15, 0, 13:44:46.889
16, 0, 13:44:46.904
17, 0, 13:44:46.923
18, 0, 13:44:46.938
19, 0, 13:44:46.954
20, 0, 13:44:46.973
21, 0, 13:44:46.988
22, 0, 13:44:47.004
23, 0, 13:44:47.024
24, 0, 13:44:47.038
25, 0, 13:44:47.054
26, 0, 13:44:47.073
27, 0, 13:44:47.088
28, 0, 13:44:47.104
29, 0, 13:44:47.124
30, 0, 13:44:47.138
31, 0, 13:44:47.154
32, 0, 13:44:47.172
33, 0, 13:44:47.187
34, 0, 13:44:47.204
35, 0, 13:44:47.222
36, 0, 13:44:47.237
37, 0, 13:44:47.254
38, 0, 13:44:47.274
39, 0, 13:44:47.288
40, 0, 13:44:47.304
41, 0, 13:44:47.323
42, 0, 13:44:47.338
43, 0, 13:44:47.355
44, 0, 13:44:47.372
45, 0, 13:44:47.389
46, 0, 13:44:47.404
47, 0, 13:44:47.422
48, 0, 13:44:47.438
49, 0, 13:44:47.455
50, 0, 13:44:47.472
51, 0, 13:44:47.487
52, 0, 13:44:47.504
53, 0, 13:44:47.522
54, 0, 13:44:47.539
55, 0, 13:44:47.554
56, 0, 13:44:47.572
57, 0, 13:44:47.588
58, 0, 13:44:47.604
59, 0, 13:44:47.621
60, 0, 13:44:47.638
61, 0, 13:44:47.654
62, 0, 13:44:47.672
63, 0, 13:44:47.688
64, 0, 13:44:47.704
65, 0, 13:44:47.722
66, 0, 13:44:47.737
67, 0, 13:44:47.755
68, 0, 13:44:47.772
69, 0, 13:44:47.788
70, 0, 13:44:47.805
71, 0, 13:44:47.822
72, 0, 13:44:47.838
73, 0, 13:44:47.854
74, 0, 13:44:47.871
75, 0, 13:44:47.889
76, 0, 13:44:47.905
77, 0, 13:44:47.922
78, 0, 13:44:47.938
79, 0, 13:44:47.954
80, 0, 13:44:47.972
81, 0, 13:44:47.988
82, 0, 13:44:48.004
83, 0, 13:44:48.022
84, 0, 13:44:48.038
85, 0, 13:44:48.054
86, 0, 13:44:48.071
87, 0, 13:44:48.089
88, 0, 13:44:48.106
89, 0, 13:44:48.123
90, 0, 13:44:48.138
91, 0, 13:44:48.154
92, 0, 13:44:48.172
93, 0, 13:44:48.188
94, 0, 13:44:48.204
95, 0, 13:44:48.222
96, 0, 13:44:48.239
97, 0, 13:44:48.255
98, 0, 13:44:48.271
99, 0, 13:44:48.288
100, 0, 13:44:48.304
101, 0, 13:44:48.321
102, 0, 13:44:48.338
103, 0, 13:44:48.354
104, 0, 13:44:48.371
105, 0, 13:44:48.388
106, 0, 13:44:48.404
107, 0, 13:44:48.421
108, 0, 13:44:48.438
109, 0, 13:44:48.454
110, 0, 13:44:48.472
111, 0, 13:44:48.488
112, 0, 13:44:48.505
113, 0, 13:44:48.521
114, 0, 13:44:48.537
115, 0, 13:44:48.554
116, 0, 13:44:48.572
117, 0, 13:44:48.588
118, 0, 13:44:48.604
119, 0, 13:44:48.621
120, 0, 13:44:48.638
121, 0, 13:44:48.655
122, 0, 13:44:48.671
123, 0, 13:44:48.688
124, 0, 13:44:48.704
125, 0, 13:44:48.722
126, 0, 13:44:48.738
127, 0, 13:44:48.754
128, 0, 13:44:48.771
129, 0, 13:44:48.788
130, 0, 13:44:48.805
131, 0, 13:44:48.822
132, 0, 13:44:48.838
133, 0, 13:44:48.854
134, 0, 13:44:48.871
135, 0, 13:44:48.887
136, 0, 13:44:48.904
137, 0, 13:44:48.921
138, 0, 13:44:48.938
139, 0, 13:44:48.954
140, 0, 13:44:48.971
141, 0, 13:44:48.988
142, 0, 13:44:49.005
143, 0, 13:44:49.022
144, 0, 13:44:49.038
145, 0, 13:44:49.054
146, 0, 13:44:49.071
147, 0, 13:44:49.089
148, 0, 13:44:49.104
149, 0, 13:44:49.122
150, 0, 13:44:49.139
151, 0, 13:44:49.154
152, 0, 13:44:49.171
153, 0, 13:44:49.188
154, 0, 13:44:49.204
155, 0, 13:44:49.221
156, 0, 13:44:49.238
157, 0, 13:44:49.254
158, 0, 13:44:49.271
159, 0, 13:44:49.288
160, 0, 13:44:49.304
161, 0, 13:44:49.322
162, 0, 13:44:49.338
163, 0, 13:44:49.354
164, 0, 13:44:49.372
165, 0, 13:44:49.388
166, 0, 13:44:49.404
167, 0, 13:44:49.421
168, 0, 13:44:49.438
169, 0, 13:44:49.454
170, 0, 13:44:49.472
171, 0, 13:44:49.488
172, 0, 13:44:49.504
173, 0, 13:44:49.521
174, 0, 13:44:49.538
175, 0, 13:44:49.555
176, 0, 13:44:49.572
177, 0, 13:44:49.588
178, 0, 13:44:49.604
179, 0, 13:44:49.621
180, 0, 13:44:49.638
181, 0, 13:44:49.654
182, 0, 13:44:49.672
183, 1, 13:44:49.688
184, 1, 13:44:49.704
185, 1, 13:44:49.722
186, 1, 13:44:49.738
187, 1, 13:44:49.754
188, 1, 13:44:49.771
189, 1, 13:44:49.788
190, 1, 13:44:49.804
191, 1, 13:44:49.821
192, 1, 13:44:49.838
193, 1, 13:44:49.854
194, 1, 13:44:49.871
195, 1, 13:44:49.888
196, 1, 13:44:49.904
197, 1, 13:44:49.921
198, 1, 13:44:49.937
199, 1, 13:44:49.954
200, 1, 13:44:49.971
201, 1, 13:44:49.988
202, 1, 13:44:50.005
203, 1, 13:44:50.021
204, 1, 13:44:50.037
205, 1, 13:44:50.054
206, 1, 13:44:50.071
207, 1, 13:44:50.088
208, 1, 13:44:50.104
209, 1, 13:44:50.121
210, 1, 13:44:50.137
211, 1, 13:44:50.154
212, 1, 13:44:50.171
213, 1, 13:44:50.188
214, 1, 13:44:50.203
215, 1, 13:44:50.220
216, 1, 13:44:50.238
217, 1, 13:44:50.253
218, 1, 13:44:50.272
219, 1, 13:44:50.288
220, 1, 13:44:50.305
221, 1, 13:44:50.321
222, 1, 13:44:50.338
223, 1, 13:44:50.353
224, 1, 13:44:50.371
225, 1, 13:44:50.388
226, 1, 13:44:50.404
227, 1, 13:44:50.421
228, 1, 13:44:50.438
229, 1, 13:44:50.454
230, 1, 13:44:50.471
231, 1, 13:44:50.489
232, 1, 13:44:50.505
233, 1, 13:44:50.522
234, 1, 13:44:50.537
235, 1, 13:44:50.554
236, 1, 13:44:50.571
237, 1, 13:44:50.587
238, 1, 13:44:50.604
239, 1, 13:44:50.621
240, 1, 13:44:50.637
241, 1, 13:44:50.654
242, 1, 13:44:50.672
243, 1, 13:44:50.688
244, 1, 13:44:50.705
245, 1, 13:44:50.722
246, 1, 13:44:50.739
247, 1, 13:44:50.755
248, 1, 13:44:50.771
249, 1, 13:44:50.788
250, 1, 13:44:50.804
251, 1, 13:44:50.822
252, 1, 13:44:50.838
253, 1, 13:44:50.855
254, 1, 13:44:50.871
255, 1, 13:44:50.888
256, 1, 13:44:50.904
257, 1, 13:44:50.921
258, 1, 13:44:50.938
259, 1, 13:44:50.954
260, 1, 13:44:50.971
261, 1, 13:44:50.988
262, 1, 13:44:51.004
263, 1, 13:44:51.022
264, 1, 13:44:51.038
265, 1, 13:44:51.055
266, 1, 13:44:51.072
267, 1, 13:44:51.088
268, 1, 13:44:51.104
269, 1, 13:44:51.121
270, 1, 13:44:51.138
271, 1, 13:44:51.154
272, 1, 13:44:51.171
273, 1, 13:44:51.188
274, 1, 13:44:51.204
275, 1, 13:44:51.221
276, 1, 13:44:51.238
277, 1, 13:44:51.254
278, 1, 13:44:51.271
279, 1, 13:44:51.288
280, 1, 13:44:51.303
281, 1, 13:44:51.322
282, 1, 13:44:51.339
283, 1, 13:44:51.354
284, 1, 13:44:51.371
285, 1, 13:44:51.387
286, 1, 13:44:51.405
287, 1, 13:44:51.422
288, 1, 13:44:51.439
289, 1, 13:44:51.454
290, 1, 13:44:51.471
291, 1, 13:44:51.488
292, 1, 13:44:51.504
293, 1, 13:44:51.521
294, 1, 13:44:51.538
295, 1, 13:44:51.553
296, 1, 13:44:51.571
297, 1, 13:44:51.588
298, 1, 13:44:51.604
299, 1, 13:44:51.621
300, 1, 13:44:51.638
301, 1, 13:44:51.654
302, 1, 13:44:51.671
303, 1, 13:44:51.688
304, 1, 13:44:51.704
305, 1, 13:44:51.721
306, 1, 13:44:51.738
307, 1, 13:44:51.753
308, 1, 13:44:51.771
309, 1, 13:44:51.787
310, 1, 13:44:51.804
311, 1, 13:44:51.821
312, 1, 13:44:51.838
313, 1, 13:44:51.855
314, 1, 13:44:51.872
