No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-08-10_15-51-56
0, -3492.70, -3988.38, -2349.76, -2044.43, 0.000, 0.000, 0.000, 15:51:59.134
1, -3907.45, -4399.50, -2706.57, -2402.67, 0.000, 0.000, 0.000, 15:51:59.146
2, -3783.26, -4278.76, -2669.10, -2324.68, 0.000, 0.000, 0.000, 15:51:59.146
3, -3428.79, -3925.42, -2296.74, -2015.04, 0.000, 0.000, 0.000, 15:51:59.160
4, -3471.84, -3965.42, -2325.63, -2031.16, 0.000, 0.000, 0.000, 15:51:59.160
5, -3865.18, -4361.49, -2726.43, -2394.27, 0.000, 0.000, 0.000, 15:51:59.179
6, -3756.30, -4254.19, -2655.30, -2307.66, 0.000, 0.000, 0.000, 15:51:59.181
7, -3392.78, -3893.44, -2265.20, -1996.02, 0.000, 0.000, 0.000, 15:51:59.182
8, -3445.02, -3950.42, -2326.39, -2014.72, 0.000, 0.000, 0.000, 15:51:59.183
9, -3861.38, -4357.72, -2748.97, -2375.75, 0.000, 0.000, 0.000, 15:51:59.191
10, -3747.75, -4247.05, -2635.22, -2287.16, 0.000, 0.000, 0.000, 15:51:59.192
11, -3398.39, -3900.17, -2271.30, -1981.34, 0.000, 0.000, 0.000, 15:51:59.193
12, -3454.22, -3946.68, -2308.99, -2010.08, 0.000, 0.000, 0.000, 15:51:59.194
13, -3852.39, -4345.62, -2736.60, -2361.07, 0.000, 0.000, 0.000, 15:51:59.206
14, -3734.05, -4232.91, -2625.89, -2283.54, 0.000, 0.000, 0.000, 15:51:59.207
15, -3368.06, -3872.62, -2230.64, -1967.90, 0.000, 0.000, 0.000, 15:51:59.223
16, -3429.60, -3930.04, -2287.10, -1993.71, 0.000, 0.000, 0.000, 15:51:59.224
17, -3842.98, -4344.68, -2744.73, -2355.43, 0.000, 0.000, 0.000, 15:51:59.237
18, -3739.55, -4237.55, -2641.53, -2283.38, 0.000, 0.000, 0.000, 15:51:59.237
19, -3374.01, -3873.13, -2242.76, -1965.86, 0.000, 0.000, 0.000, 15:51:59.237
20, -3431.69, -3922.72, -2294.94, -1997.34, 0.000, 0.000, 0.000, 15:51:59.239
21, -3837.11, -4335.27, -2734.16, -2361.32, 0.000, 0.000, 0.000, 15:51:59.249
22, -3732.12, -4234.64, -2599.62, -2298.26, 0.000, 0.000, 0.000, 15:51:59.249
23, -3378.36, -3877.13, -2240.80, -1980.99, 0.000, 0.000, 0.000, 15:51:59.250
