No, CH1, CH2, CH3, CH4, Accel X, Accel Y, Accel Z, 2017-10-06_18-39-35
0, -4563.93, -4949.58, 781.73, 1042.70, 0.000, 0.000, 0.000, 18:39:40.859
1, -4571.23, -4952.79, 775.35, 1043.56, 0.000, 0.000, 0.000, 18:39:40.902
2, -4561.36, -4933.85, 779.53, 1055.71, 0.000, 0.000, 0.000, 18:39:40.905
3, -4570.27, -4944.19, 785.23, 1059.75, 0.000, 0.000, 0.000, 18:39:40.908
4, -4568.44, -4949.61, 785.02, 1056.43, 0.000, 0.000, 0.000, 18:39:40.912
5, -4573.69, -4955.42, 772.18, 1047.20, 0.000, 0.000, 0.000, 18:39:40.917
6, -4572.93, -4946.32, 774.15, 1048.31, 0.000, 0.000, 0.000, 18:39:40.918
7, -4578.31, -4950.24, 783.31, 1046.52, 0.000, 0.000, 0.000, 18:39:40.919
8, -4576.50, -4954.40, 784.31, 1047.41, 0.000, 0.000, 0.000, 18:39:40.920
9, -4591.81, -4964.04, 772.56, 1042.37, 0.000, 0.000, 0.000, 18:39:40.923
10, -4582.85, -4959.07, 773.10, 1045.02, 0.000, 0.000, 0.000, 18:39:40.926
11, -4571.82, -4953.35, 784.22, 1047.25, 0.000, 0.000, 0.000, 18:39:40.933
12, -4589.95, -4968.86, 776.62, 1037.84, 0.000, 0.000, 0.000, 18:39:40.934
13, -4585.24, -4972.16, 779.33, 1039.06, 0.000, 0.000, 0.000, 18:39:40.936
14, -4592.49, -4969.53, 787.05, 1043.19, 0.000, 0.000, 0.000, 18:39:40.937
15, -4591.08, -4962.21, 786.90, 1051.67, 0.000, 0.000, 0.000, 18:39:40.971
16, -4597.61, -4960.21, 790.56, 1044.48, 0.000, 0.000, 0.000, 18:39:40.974
17, -4589.58, -4962.28, 799.71, 1042.21, 0.000, 0.000, 0.000, 18:39:40.975
18, -4577.61, -4955.43, 789.54, 1040.54, 0.000, 0.000, 0.000, 18:39:40.978
19, -4590.76, -4959.24, 796.23, 1046.20, 0.000, 0.000, 0.000, 18:39:40.980
20, -4595.97, -4961.91, 794.45, 1044.08, 0.000, 0.000, 0.000, 18:39:40.982
21, -4596.24, -4966.06, 785.07, 1049.82, 0.000, 0.000, 0.000, 18:39:40.986
22, -4589.29, -4965.94, 789.31, 1047.03, 0.000, 0.000, 0.000, 18:39:40.987
23, -4590.91, -4957.17, 797.02, 1050.43, 0.000, 0.000, 0.000, 18:39:40.988
24, -4583.30, -4953.79, 794.33, 1041.61, 0.000, 0.000, 0.000, 18:39:41.006
25, -4590.68, -4959.12, 797.43, 1040.16, 0.000, 0.000, 0.000, 18:39:41.014
26, -4582.84, -4963.18, 800.19, 1053.55, 0.000, 0.000, 0.000, 18:39:41.018
27, -4579.76, -4950.16, 807.52, 1053.85, 0.000, 0.000, 0.000, 18:39:41.020
28, -4595.39, -4952.91, 805.38, 1048.58, 0.000, 0.000, 0.000, 18:39:41.020
29, -4590.80, -4962.36, 801.22, 1046.05, 0.000, 0.000, 0.000, 18:39:41.021
30, -4597.20, -4959.12, 803.18, 1055.46, 0.000, 0.000, 0.000, 18:39:41.022
31, -4565.94, -4950.05, 803.65, 1061.95, 0.000, 0.000, 0.000, 18:39:41.041
32, -4576.67, -4955.29, 801.18, 1059.24, 0.000, 0.000, 0.000, 18:39:41.042
33, -4573.58, -4948.55, 804.74, 1058.45, 0.000, 0.000, 0.000, 18:39:41.046
34, -4573.21, -4954.05, 801.05, 1055.65, 0.000, 0.000, 0.000, 18:39:41.047
35, -4567.46, -4960.93, 802.35, 1058.27, 0.000, 0.000, 0.000, 18:39:41.048
36, -4581.95, -4960.82, 796.70, 1046.18, 0.000, 0.000, 0.000, 18:39:41.049
37, -4578.66, -4954.77, 788.51, 1044.23, 0.000, 0.000, 0.000, 18:39:41.058
38, -4566.76, -4944.09, 788.74, 1046.31, 0.000, 0.000, 0.000, 18:39:41.062
39, -4565.97, -4943.64, 793.20, 1051.80, 0.000, 0.000, 0.000, 18:39:41.070
40, -4568.46, -4956.69, 789.21, 1053.73, 0.000, 0.000, 0.000, 18:39:41.071
41, -4573.54, -4963.31, 779.58, 1055.82, 0.000, 0.000, 0.000, 18:39:41.139
42, -4566.26, -4947.09, 778.03, 1059.09, 0.000, 0.000, 0.000, 18:39:41.140
43, -4569.45, -4940.33, 785.87, 1065.40, 0.000, 0.000, 0.000, 18:39:41.148
44, -4557.97, -4938.57, 786.33, 1065.28, 0.000, 0.000, 0.000, 18:39:41.152
45, -4571.49, -4944.08, 776.72, 1054.90, 0.000, 0.000, 0.000, 18:39:41.155
46, -4569.56, -4946.36, 779.95, 1064.35, 0.000, 0.000, 0.000, 18:39:41.155
47, -4565.71, -4957.56, 778.64, 1060.37, 0.000, 0.000, 0.000, 18:39:41.156
48, -4573.12, -4948.11, 778.52, 1061.53, 0.000, 0.000, 0.000, 18:39:41.156
49, -4565.49, -4945.92, 780.60, 1060.04, 0.000, 0.000, 0.000, 18:39:41.157
50, -4559.23, -4934.91, 776.28, 1064.44, 0.000, 0.000, 0.000, 18:39:41.157
51, -4571.54, -4939.55, 770.02, 1058.90, 0.000, 0.000, 0.000, 18:39:41.161
52, -4564.59, -4941.31, 776.84, 1058.15, 0.000, 0.000, 0.000, 18:39:41.162
53, -4564.66, -4953.88, 760.16, 1050.78, 0.000, 0.000, 0.000, 18:39:41.168
54, -4573.49, -4949.34, 767.85, 1056.58, 0.000, 0.000, 0.000, 18:39:41.169
59, -4575.56, -4956.43, 775.14, 1048.83, 0.000, 0.000, 0.000, 18:39:41.222
60, -4587.71, -4961.50, 774.05, 1037.82, 0.000, 0.000, 0.000, 18:39:41.223
61, -4585.41, -4955.51, 764.76, 1036.41, 0.000, 0.000, 0.000, 18:39:41.224
62, -4594.79, -4953.31, 758.67, 1040.02, 0.000, 0.000, 0.000, 18:39:41.225
63, -4595.16, -4950.36, 763.75, 1047.39, 0.000, 0.000, 0.000, 18:39:41.229
64, -4598.73, -4956.40, 763.57, 1045.92, 0.000, 0.000, 0.000, 18:39:41.231
65, -4595.91, -4953.52, 754.28, 1033.24, 0.000, 0.000, 0.000, 18:39:41.236
66, -4581.48, -4957.60, 759.93, 1036.44, 0.000, 0.000, 0.000, 18:39:41.237
67, -4576.58, -4953.79, 770.45, 1042.42, 0.000, 0.000, 0.000, 18:39:41.239
68, -4584.16, -4960.78, 780.92, 1051.66, 0.000, 0.000, 0.000, 18:39:41.240
69, -4587.29, -4960.99, 773.88, 1044.49, 0.000, 0.000, 0.000, 18:39:41.241
70, -4607.74, -4963.94, 763.83, 1039.70, 0.000, 0.000, 0.000, 18:39:41.242
71, -4597.75, -4976.08, 775.74, 1039.11, 0.000, 0.000, 0.000, 18:39:41.251
72, -4575.44, -4946.41, 781.14, 1038.73, 0.000, 0.000, 0.000, 18:39:41.253
73, -4580.16, -4968.12, 766.14, 1038.77, 0.000, 0.000, 0.000, 18:39:41.255
74, -4589.43, -4975.21, 779.24, 1044.14, 0.000, 0.000, 0.000, 18:39:41.255
75, -4614.66, -4970.24, 785.21, 1049.40, 0.000, 0.000, 0.000, 18:39:41.281
76, -4548.38, -4919.13, 788.21, 1043.51, 0.000, 0.000, 0.000, 18:39:41.285
77, -4597.09, -4959.06, 792.44, 1049.47, 0.000, 0.000, 0.000, 18:39:41.288
78, -4587.70, -4972.04, 794.86, 1070.40, 0.000, 0.000, 0.000, 18:39:41.290
79, -4565.77, -4893.53, 811.75, 1055.57, 0.000, 0.000, 0.000, 18:39:41.292
80, -4532.92, -4849.47, 808.02, 1048.73, 0.000, 0.000, 0.000, 18:39:41.293
81, -4496.84, -4912.19, 787.83, 1056.66, 0.000, 0.000, 0.000, 18:39:41.301
82, -4416.14, -4801.77, 776.53, 1024.88, 0.000, 0.000, 0.000, 18:39:41.303
83, -4489.32, -4836.82, 801.69, 1029.96, 0.000, 0.000, 0.000, 18:39:41.306
84, -4414.46, -4782.53, 786.45, 1027.18, 0.000, 0.000, 0.000, 18:39:41.307
85, -4399.87, -4755.67, 768.07, 1013.72, 0.000, 0.000, 0.000, 18:39:41.323
86, -4414.30, -4816.41, 772.99, 1001.77, 0.000, 0.000, 0.000, 18:39:41.325
87, -4470.84, -4808.93, 789.36, 1004.94, 0.000, 0.000, 0.000, 18:39:41.335
88, -4459.02, -4895.53, 810.04, 1029.85, 0.000, 0.000, 0.000, 18:39:41.336
89, -4449.10, -4837.57, 792.17, 1013.26, 0.000, 0.000, 0.000, 18:39:41.336
90, -4445.48, -4814.64, 774.43, 983.04, 0.000, 0.000, 0.000, 18:39:41.337
91, -4473.76, -4848.50, 797.24, 1001.14, 0.000, 0.000, 0.000, 18:39:41.359
92, -4521.95, -4874.03, 794.14, 1004.07, 0.000, 0.000, 0.000, 18:39:41.360
